Adriana Torrebejano
Aida Oset
Aina Clotet
Aline Küppenheim
Amparo Baró
Anna Castillo
Ariadna Gil
Assumpta Serna
Aurora Redondo
Irene Montalà
Isabel de Pomés
Liah O'Prey
Bea Segura
Bruna Cusí
Candela Serrat
Carla Campra
Carlota Baró
Carme Elías
Carmen de Mairena
Gemma Cuervo
Laia Costa
Laia Marull
Laly Soldevila
Lola Cordero
Loles León
Mercedes Molto
Mercedes Palomino
Mercedes Sampietro
Mercedes Vecino
Sonia Ferrer
Sílvia Marsó
Sílvia Munt
Vicenta Ndongo
Vicky Luengo
Ingrid Rubio
Nina
Leticia Dolera
Vanessa Incontrada
Elena Jordi
Elena Martín
Elena Tarrats
Elvira Mínguez
Emma Cohen
Emma Vilarasau
Emmy Lynn
Georgina Amorós
Lina Romay
Lydia Zimmermann
Maria Alba
Marina Torres
Marta Torné
Melina Matthews
Michelle Jenner
Silvia Marty
Yolanda Ventura
Àstrid Bergès-Frisbey
Ángela Cervantes
Christina Ochoa
Claudia Bassols
Diana Lado
Eva Santolaria
Monica Ramon
Tània Sàrrias
Cristina Marcos
Laura Mañá
Laura del Sol
María Dolores Gispert Guart
María Mercader
María Molins
Greta Fernández
Jana Pérez
Nausicaa Bonnín
Úrsula Corberó
Itziar Castro
Ivana Baquero
Mar Regueras
Mar Saura
Nuria Torray
Núria Feliu
Núria Prims
Nora Navas
Rosa Maria Sardà
Sandra Barneda
Thaïs Blume
