Adele Blood
Aggie Herring
Aileen Pringle
Aisha Tyler
Aleshia Brevard
Ali Wong
Alice Reinheart
Alicia Silverstone
Alicia Sixtos
Alie Ward
Alison Elliott
Alma Rubens
Amanda Lucas
Amy Irving
Anna Maria Perez de Tagle
Arielle Jacobs
Ashley Clements
Aunjanue Ellis
Ina Claire
Indira Stefanianna
Ione Skye
Irene Ryan
Irene Tsu
Lee Meriwether
Leila Arcieri
Lena Hall
Lia Chang
Aya Cash
Barbara Bouchet
Barbara Eden
Bea Benaderet
Bebe Sweetbriar
Benay Venuta
Beth Franklyn
Billie Rhodes
Bonnie-Jill Laflin
Brigid Brannagh
Camille Montgomery
Carla Borelli
Carmel Myers
Carol Channing
Carol Queen
Carroll Borland
Carré Otis
Cassandra Cass
Cassandra Gava
Genevieve Stebbins
Lana Turner
Lorelei Lee
Lotta Crabtree
Louise Lorraine
Madison Young
Pat Sheehan
Pat Welsh
Sugar Dawn
Tati Gabrielle
Terri J. Vaughn
Melora Hardin
Olivia Rose Keegan
Shirley Dinsdale
Sophie Oda
Victoria Konefal
Victoria Vetri
Violet Romer
Virginia Brissac
Yu So-chow
Zelda Williams
Zena Keefe
Zephani Idoko
Jean Gale
Jennifer Siebel Newsom
Josephine Hill
Josephine Lovett
Josephine Whittell
Joyce Bryant
Julie Caitlin Brown
June Gale
Maud Madison
Neith Hunter
Nichole Sakura
Nicole Burdette
Shanna McCullough
Sheila Bromley
Tiffany Young
Delia Bogard
Fay Courteney
Gabrielle Carteris
Gail Sheridan
Gail Williams
Golden Brooks
Kristina Wong
Kristine Miller
Krystal Jung
Kwun-Ling Chow
Leslie Hendrix
Leslie Mann
Maxine Doyle
Val Diamond
Colleen Camp
Cookie Mueller
Courtney Love
Courtney Thorne-Smith
Elizabeth Ho
Emily Goss
Emma Berman
Erika Henningsen
Erinn Hayes
Francesca Faridany
Georgia Caine
Geraldine Carr
Gina Ravera
Grace Hartman
Gracie Allen
Kara Young
Karen Jensen
Laurie Walters
Linda Arvidson
Linda Dangcil
Lisa Bonet
Mala Powers
Marian and Vivian Brown
Marie Burroughs
Marion E. Wong
Marjorie Lord
Marjorie Rambeau
Marla Sokoloff
Melissa Hill
Charlotte Burton
China Kantner
Cindy Herron
Claire Coffee
Claire Kelly
Claire de Lorez
Clarice Blackburn
Claudia Wells
Dagmar Oakland
Daisy McCrackin
Dana Vespoli
Daphne Zuniga
Dylan Ryan
Edna Maison
Edythe Elliott
Estelle Etterre
Flora Juliet Bowley
Jacki R. Chan
Jacqueline Toboni
Jazmyn Simon
Jessica Jung
Joan Baker
Joan Blackman
Joan Gale
Joan Weldon
Joanna Kerns
Minnie Dupree
Minnie Tittell Brune
LaToya London
Laura Hope Crews
Lucy Saroyan
Mabel Colcord
Mabelle Gilman Corey
Mary Grace Borel
Mary Wynn
Wini Shaw
Jamie Chung
Jane Corcoran
Janis Tanaka
Kate Wilkinson
Katherine Griffith
Kathleen Chalfant
Nadia Ali
Necar Zadegan
Ruth Kobart
Ruth Roland
Susan Brown
Susan Tyrrell
Suzy McCoppin
Helen Ware
Patty Hearst
Paula Raymond
Phoebe Davies
Lillian Lawrence
Margaret Cho
Margia Dean
Remy LaCroix
Rita Volk
Roberta Arnold
Noel Toy
Sandra Church
Venus Lux
Vonetta McGee
