Adrienne Wilkinson
Ann Baker
Betty Garrett
Brenda Joyce
Cailee Spaeny
Lori Saunders
Maggie Brown
Tava Smiley
Pearl White
Tonya Knight
Zamah Cunningham
Celia Kaye
Dorothea Kent
Dorothy Dwan
Dorothy Vaughan
Jenifer Lewis
June Clyde
Kim Chizevsky-Nicholls
Leora Spellman
Georgia Hale
Geraldine Page
Gladys Swarthout
Lisa Wilcox
Mariann Mayberry
Marjorie Montgomery
Martha Scott
Melissa Hutchison
Michelle Hendley
Clara Whipple
Edie Huggins
Eileen O'Hearn
Jessica Capshaw
Sally Rand
Laura La Varnie
Mary Nolan
Jane Darwell
Jane Froman
Jane Wyman
Janet Jones
Kasey Rogers
Katherine Marlowe
Kathleen Turner
Ruth Royce
Ruth Warrick
Helen Bennett
Helen Boyce
Helen Bray
Margaret Brown
Remi Barclay Messenger
Priscilla Moran
