Alyssa Chia
Annie Yi
Joey Wong
Barbie Hsu
Betty Pei Ti
Bowie Tsang
Brenda Wang
Brigitte Lin
Tarcy Su
Teresa Teng
Shu Qi
Vicky Chen
Vivian Hsu
Chang Hsiao-yen
Chang Mei-yao
Chang Ting
Ruby Lin
Tien Hsin
Fang Wen-lin
Mavis Fan
Miao Ke-li
Wanfang
Wang Yu-wen
Francesca Kao
Lin Mei-hsiu
Luo Pei-ying
Stephanie Shiao
Charlie Yeung
Chen Ping
Chen Shiang-chyi
Chiang Shu-na
Chiang Tsu-ping
Ching Li
Chloe Wang
Di Ying
Ding Ning
Elaine Jin
Fon Cin
Fong Fei-fei
Jacklyn Wu
Joan Lin
Kelly Lin
Sally Chen
Cynthia Khan
Lang Tzu-yun
Lu Yi-ching
Lü Hsueh-feng
Timi Zhuo
Gua Ah-leh
Hsieh Yue-hsia
Hsing Hui
Hsu Feng
Pauline Lan
Lily Tien
Pai Bing-bing
Rene Liu
Yang Chieh-mei
Yang Kuei-mei
Yang Li-hua
Terry Hu
