Addison Holley
Alexandra Chaves
Alice Moran
Alysa King
Amy Lalonde
Andrea Brooks
Andrea Lewis
Andrea Roth
Ann Knox
April Mullen
Arlene Duncan
Aurora Browne
Avril Lavigne
Iman Vellani
Barbara Budd
Barbara Read
Beth Amos
Beverley Elliott
Blanche Crozier
Brenna O'Brien
Briar Nolet
Brittany Raymond
Cara Duff-MacCormick
Carla Collins
Carolina Bartczak
Mag Ruffman
Miriam McDonald
Tamara Bernier Evans
Tattiawna Jones
Neve Campbell
Oluniké Adeliyi
Sarah Manninen
Sonja Smits
Torri Higginson
Victoria Pratt
Cecilia Parker
Charity Brown
Domini Blythe
Jennifer Calvert
Julie O'Halloran
Maude Eburne
Nesta Cooper
Niamh Wilson
Nicole Lyn
Nina Arsenault
Rebecca Shoichet
Samantha Win
Sharon Belle
Shay Mitchell
Goldie Semple
Kerry LaiFatt
Kiawentiio
Kim Huffman
Krista Bridges
Kristen Hager
Kristin Booth
Natalie Appleton
Natalie Brown
Vanity
Wanda Cannon
Elise Bauman
Elizabeth Hess
Elizabeth Whitmere
Emily VanCamp
Emmanuelle Chriqui
Erin Fleming
Geri Hall
Gigi Gorgeous
Glory Annen
Ida Hawley
Lauren Ash
Lauren Collins
Lauren Holly
Lindsey Middleton
Lindy Booth
Lisa Berry
Lisa Langlois
Maitreyi Ramakrishnan
Marie Avgeropoulos
Marie Dressler
Marie Prevost
Marieve Herington
Marilyn Norry
Megan McKinnon
Megan Park
Melissa McIntyre
Melissa Molinaro
Michelle Latimer
Michelle Nolden
Simply Nailogical
Cheri Maracle
Christina Schmidt
Christine Horne
Cindy Gomez
Deborah Kimmett
Diane Nyland
Estella Warren
Jack Hourigan
Jessica Cameron
Jessica Greco
Jessica Harmon
Jillian Barberie
Joanna Douglas
Morag Smith
Cynthia Belliveau
Lara Jean Chorostecki
Mandy Butcher
Mary Charlotte Wilcox
Sitara Hewitt
Haley McGee
Hannah Lochner
Kate Conway
Kate Drummond
Kate Reid
Kate Todd
Katherine East
Kathleen Howard
Katie Crown
Katie Douglas
Kay Livingstone
Nancy Anne Sakovich
Susan Clark
Helen Shaver
Italia Ricci
Patty Sullivan
Paula Brancati
Margaret Marquis
Pamela Rabe
Rekha Shah
Robin Duke
Rosemary Radcliffe
Sabrina Grdevich
Sara Botsford
