Aarti Mann
Alma Kruger
Amy Guterson
Anisha Nagarajan
Autumn Federici
Isabel Bonner
Leigh Ann Larkin
Leigh Christian
Lenora Nemetz
Lia McHugh
Barbara Feldon
Beth Ostrosky Stern
Bette Ford
Betty Gabriel
Brianna Knickerbocker
Caitlin Clarke
IJustine
Lois Moran
Lois Weber
Lois Wilson
Lorelei King
Lori Cardille
Lory Bianco
Maddie Ziegler
Miriam Leah Gamliel
Mitzi McCall
Patricia Wettig
Peggy Shaw
Ricki Wertz
Shirley Jones
Vivian Reed
Vivian Reed
Zelda Rubinstein
Celine Held
Dolores Costello
Jeanne Coyne
Jenna Morasca
Jennifer Darling
Joy Suprano
Judith McConnell
Judith O'Dea
Julie Benz
Rebecca Soler
Sam Sorbo
Dena Dietrich
Kim Director
Kimmarie Johnson
Natalie Moorhead
Elizabeth Hartman
Elysia Segal
Gillian Jacobs
Gloria Hope
Grace Byers
Linda Doucett
Lisa Ann Walter
Lisa Emery
Lulu Glaser
Marian McCargo
Marpessa Dawn
Megan Sikora
Stephanie D'Abruzzo
Chelsea Zhang
Cherie Johnson
Chloe Lukasiak
Christina Aguilera
Christina Cindrich
Christine Laitta
Deborah Sale Butler
Eileen Rodgers
Eve Gordon
Florence Crawford
Jackie Evancho
Sally Starr
Mary MacLaren
Katherine MacDonald
Kaye Stevens
Nadia Alexander
Ruth Bailey
Heather Mazur
Patti Deutsch
Lillian Russell
Margaret Irving
Margot Bingham
Margot Rose
Pamela Payton-Wright
Rena Sofer
Rita Gam
Roberta Gale
Roberta Wilson
Rosalie Abrams
Sandra Dee Robinson
Twink Caplan
