Adelaide Calvert
Adeline Hayden Coffin
Adrienne Corri
Agnes Lauchlan
Aileen Marson
Aimée Delamain
Alethea Charlton
Alice Evans
Alice Lloyd
Allison Harding
Amanda Holden
Amanda Tapping
Ambrosine Phillpotts
Amma Asante
Angela Baddeley
Angela Browne
Ann George
Ann Trevor
Anna-Louise Plowman
Anna Carteret
Anna Kashfi
Anna Konstam
Anne Crawford
Anne Kristen
Anthea Askey
Antonia Brough
Audrey Hepburn
Audrey Russell
Françoise Pascal
Ina Clough
Isla Blair
Barbara Archer
Barbara Couper
Barbara Rosenblat
Barbara Yu Ling
Barbara Yung
Beatrice Campbell
Beatrice Lillie
Betty Alberge
Betty Ann Davies
Betty Paul
Betty Warren
Brenda Forbes
Briony McRoberts
Carol Raye
Carole Ann Ford
Carole Ruggier
Caroline Lee-Johnson
Caroline O'Neill
Carrie Moore
Gaynor Hodgson
Grayce Hampton
Hylda Baker
Lally Bowers
Louisa Rix
Louise English
Louise Pajo
Madeleine Christie
Mae Bacon
Maggie Cheung
Miriam Jordan
Miriam Karlin
Parminder Nagra
Patricia Collins
Sunday Wilshin
Tamara Desni
Tamara Ustinov
Tameka Empson
Tanya Moodie
Teresa Gallagher
Merle Tottenham
Moira Lister
Mona Hammond
Olga Dickie
Olga Lindo
Olga Petrova
Olive Mercer
Olivia Newton-John
Peggy Thorpe-Bates
Penny Downie
Penny Spencer
Queenie Thomas
Sarah Winman
Shirley Cain
Shobu Kapoor
Soni Razdan
Sonia Dresdel
Sophie Stewart
Vickery Turner
Vicki Woolf
Victoria Harwood
Viola Keats
Violet Hopson
Viva Tattersall
Vivien Leigh
Vivienne Chatterton
Yvonne Furneaux
Yvonne Owen
Zara Nutley
Zena Marshall
Celia Lipton
Chai Lee
Charlie Brooks
Charlie Hayes
Dodo Watts
Doran Godwin
Doreen Hawkins
Doris Hare
Dorothy Black
Dorothy Fane
Dorothy Reynolds
Dorothy Seacombe
Doña Croll
Gwen Ffrangcon-Davies
Jean Aubrey
Jean Forbes-Robertson
Jean Southern
Jeanne de Casalis
Jennie Stoller
Joyce Bland
Joyce Heron
Joyce Kennedy
Joyce Kirby
Judith Anderson
Judith Jacob
Judy Holt
Judy Kelly
Julia Arnall
Julia Watson
June Thorburn
Maud Yates
Maudie Dunham
Maudie Edwards
Maureen Connell
Maureen Murphy
Neelam Kothari
Nelly Arno
Nina Baden-Semper
Nina Vanna
Rowena King
Ruby Miller
Sharon Small
Shauna Macdonald
Sheila McGibbon
Sheila Raynor
Sheila Sim
Sheila Steafel
Shelley King
Dee Cannon
Fanny Carby
Fay Holden
Felicity Jones
Femi Taylor
Gabrielle Drake
Leonora Corbett
Leslee Udwin
Lesley-Anne Down
Lesley Wareing
Leueen MacGrath
Mavis Villiers
Natascha McElhone
Stacy Jefferson
Valerie Gaunt
Valerie Hobson
Vanessa Lee
Catherine Schell
Cathleen Nesbitt
Corinne Skinner-Carter
Eleanor Fazan
Elizabeth Seal
Ellen Pollock
Ellen Thomas
Elliott Mason
Elsa Tee
Elsie Wagstaff
Elspeth Duxbury
Emily Bolton
Emily Hamilton
Emma Tate
Emma Thompson
Georgina Cookson
Geraldine Somerville
Gillian Lind
Gina Bellman
Ginny Holder
Girija Shettar
Gladys Hamer
Glennis Lorimer
Glynis Johns
Karina Fernandez
Lauren Anne Baldwin
Luise Rainer
Lynne Carol
Lynne Sue Moon
Marie De Becker
Marjery Bryce
Marjorie Browne
Marjorie Corbett
Marjorie Fielding
Marjorie Westbury
Megan Williams
Shakira Caine
Siobhan Hayes
Stella Bonheur
Stephanie Bidmead
Stephanie Lawrence
Sylvestra Le Touzel
Sylvia Ashley
Sylvia Coleridge
Tonicha Jeronimo
Yolande Turner
Zizi Strallen
Zuleikha Robinson
Chloe Franks
Chloe Leland
Christine Hargreaves
Clare McIntyre
Clare Sandars
Clare Tree Major
Dana Wynter
Daphne Heard
Daphne Rye
Dawn French
Debby Bishop
Deborah Makepeace
Diana Barrington
Diana Beaumont
Diana Darvey
Edith Wynne Matthison
Edna Davies
Edna Loftus
Eileen Beldon
Eileen Moore
Eileen Percy
Elaine Tan
Esma Cannon
Ethel Coleridge
Ethyle Batley
Eva Bartok
Eva Le Gallienne
Eve Balfour
Eve Ferret
Eve Karpf
Eve Matheson
Evelyn Ankers
Faith Bennett
Fiona Fullerton
Floella Benjamin
Flora Bramley
Jessica Tandy
Jill Bennett
Jill Summers
Joan Bruce
Joan Cooper
Joan Haythorne
Joan Kemp-Welch
Joan Lockton
Joan Sterndale-Bennett
Joann Condon
Joanna Lumley
Joanne Campbell
Jocelyn Jee Esien
Kelly Marcel
Morwenna Banks
Prudence Hyman
Rachel Grant
Rachel Thomas
Sally Ann Marsh
Salma Agha
Lady Caroline Paget
Lady Constance Malleson
Mamta Kaash
Mary Hignett
Mary Millington
Mary Morris
Mary Woodvine
Maryam d'Abo
Selma Vaz Dias
Winifred Fortescue
Honeysuckle Weeks
Jane Alexander
Jane Baxter
Jane Cain
Jane Lapotaire
Janet Webb
Kasia Haddad
Katharine Schlesinger
Kathleen Vaughan
Katie Boyle
Kay Bannerman
Kay Dotrice
Kitty Aldridge
Liz Gebhardt
Lizzie Roper
Mrs Patrick Campbell
Nadia Cattouse
Nancy O'Neil
Ruth Madeley
Ruth Madoc
Ruth Maitland
Susan Engel
Susan Fleetwood
Susan Littler
Suzan Crowley
Heather Bleasdale
Helen Christie
Helen Goss
Helen Shingler
Helena Pickard
Hermione Harvey
Hilary Pritchard
Hilary Tindall
Hilda Bayley
Patsy Smart
Patti Boulaye
Pauline Black
Pauline Henriques
Pauline Melville
Perdita Weeks
Phyllis Logan
Phyllis Stanley
Lilian Douglas
Lillie Langtry
Lily Kann
Margaret Burton
Margaret Courtenay
Margaret Lacey
Margaret Vines
Margaret Withers
Paddy Naismith
Pam Ferris
Pamela Greer
Paola Dionisotti
Renee Clama
Renee Roberts
Noel Hood
Nora Cecil
Norah Howard
Pippa Bennett-Warner
Pippa Steel
Priyanga Burford
Rosalie Williams
Rosalyn Boulter
Rosamund Pike
Rosemarie Frankland
Rosemary Frankau
Rosemary Johnson
Sandra Dickinson
Tessie O'Shea
Vera Cornish
Vera Lindsay
Wendy Williams
Wendy van der Plank
