Adrianna Biedrzyńska
Agata Buzek
Agata Kulesza
Agnieszka Dygant
Agnieszka Grochowska
Agnieszka Sienkiewicz
Agnieszka Sitek
Agnieszka Suchora
Agnieszka Wagner
Agnieszka Włodarczyk
Aleksandra Gintrowska
Aleksandra Konieczna
Aleksandra Śląska
Alicja Bachleda-Curuś
Alina Janowska
Alma Kar
Aneta Zając
Anita Sokołowska
Anna-Maria Sieklucka
Anna Ciepielewska
Anna Dereszowska
Anna Dymna
Anna Ilczuk
Anna Kerth
Anna Korcz
Anna Nowak
Anna Polony
Anna Prucnal
Anna Przybylska
Anna Próchniak
Anna Seniuk
Anna Wendzikowska
Anne Chevalier
Antonina Girycz
Ina Benita
Irena Anders
Irena Eichlerówna
Irena Górska-Damięcka
Irena Kwiatkowska
Irena Laskowska
Irena Malkiewicz
Irena Netto
Irena Skwierczyńska
Jolanta Fraszyńska
Jolanta Lothe
Lena Żelichowska
Barbara Brylska
Barbara Gilewska
Barbara Grabowska
Barbara Horawianka
Barbara Jonak
Barbara Krafftówna
Barbara Kwiatkowska-Lass
Barbara Połomska
Barbara Rogowska
Barbara Sołtysik
Basia Wywerkówna
Beata Poźniak
Beata Tyszkiewicz
Bella Darvi
Bożena Dykiel
Bożena Kurowska
Grażyna Błęcka-Kolska
Grażyna Długołęcka
Grażyna Szapołowska
Loda Halama
Loda Niemirzanka
Magda Konopka
Magdalena Boczarska
Magdalena Mielcarz
Magdalena Różczka
Magdalena Walach
Magdalena Zawadzka
Mirosława Krajewska
Stanisława Angel-Engelówna
Stanisława Celińska
Stanisława Perzanowska
Stanisława Umińska
Stanisława Wysocka
Tamara Arciuch
Teresa Budzisz-Krzyżanowska
Teresa Iżewska
Teresa Lipowska
Teresa Marczewska
Teresa Szmigielówna
Olga Borys
Olga Bołądź
Pola Negri
Sonia Bohosiewicz
Violetta Villas
Dominika Jablonska
Dorota Pomykała
Dorota Segda
Ingrid Pitt
Julia Kamińska
Julia Kijowska
Julia Krynke
Julia Pietrucha
Nina Andrycz
Nina Polan
Shazza
Gabriela Kownacka
Gabriela Muskała
Kinga Preis
Krystyna Ankwicz
Krystyna Feldman
Krystyna Janda
Krystyna Mikołajewska
Krystyna Zachwatowicz
Małgorzata Braunek
Małgorzata Gebel
Małgorzata Kożuchowska
Małgorzata Pieczyńska
Małgorzata Socha
Małgorzata Zajączkowska
Natasza Urbańska
Wanda Jarszewska
Wanda Koczeska
Wiesława Kwaśniewska
Wiesława Mazurkiewicz
Eliza Rycembel
Elżbieta Barszczewska
Elżbieta Czyżewska
Elżbieta Kępińska
Elżbieta Romanowska
Emilia Krakowska
Erika Kaar
Ida Kamińska
Iga Cembrzyńska
Ilona Ostrowska
Lya Mara
Maja Komorowska
Maja Ostaszewska
Malka Ribowska
Maria Balcerkiewiczówna
Maria Bogda
Maria Chmurkowska
Maria Chwalibóg
Maria Dulęba
Maria Garbowska-Kierczyńska
Maria Gorczyńska
Maria Koterbska
Maria Malanowicz-Niedzielska
Maria Malicka
Maria Niklińska
Maria Seweryn
Marta Lipińska
Marta Żmuda Trzebiatowska
Michalina Olszańska
Mieczysława Ćwiklińska
Stefania Górska
Tola Mankiewiczówna
Zofia Czerwińska
Zofia Jaroszewska
Zofia Merle
Zofia Mrozowska
Zofia Wichłacz
Zula Pogorzelska
Zuzanna Szadkowski
Claudia Ciesla
Dagmara Domińczyk
Danuta Lato
Danuta Rinn
Danuta Stenka
Danuta Szaflarska
Daria Widawska
Diana Karenne
Edyta Jungowska
Ewa Błaszczyk
Ewa Dałkowska
Ewa Gawryluk
Ewa Krzyżewska
Ewa Serwa
Ewa Wiśniewska
Ewa Ziętek
Ewelina Lukaszewska
Jadwiga Andrzejewska
Jadwiga Barańska
Jadwiga Chojnacka
Jadwiga Jankowska-Cieślak
Jadwiga Kuryluk
Jadwiga Smosarska
Jaga Juno
Joanna Brodzik
Joanna Hofman
Joanna Jabłczyńska
Joanna Jarmołowicz
Joanna Jędryka
Joanna Koroniewska
Joanna Kulig
Joanna Moro
Joanna Pacuła
Joanna Szczepkowska
Joanna Trzepiecińska
Kazimiera Utrata
Mira Zimińska
Kalina Jędrusik
Lucyna Winnicka
Marzena Trybała
Halina Kossobudzka
Halina Kwiatkowska
Hanka Bielicka
Hanka Ordonówna
Hanna Śleszyńska
Janina Janecka
Karolina Gruszka
Karolina Wydra
Katarzyna Ankudowicz
Katarzyna Bujakiewicz
Katarzyna Chrzanowska
Katarzyna Cichopek
Katarzyna Dąbrowska
Katarzyna Figura
Katarzyna Glinka
Katarzyna Pakosińska
Klara Segałowicz
Roma Gąsiorowska
Soava Gallone
Suzanna von Nathusius
Tekla Trapszo
Urszula Modrzyńska
Helena Buczyńska
Helena Dąbrowska
Helena Grossówna
Helena Makowska
Helena Zarembina
Izabela Kuna
Izabela Trojanowska
Izabella Miko
Izabella Scorupco
Patrycja Soliman
Patrycja Volny
Lidia Korsakówna
Lidia Wysocka
Liliana Komorowska
Renata Dancewicz
Renata Drössler
Nora Ney
Sandra Drzymalska
Weronika Rosati
