Ade Edmondson
Al Murray
Alastair Sim
Alec Guinness
Alex Winter
Alfie Bass
Andrew Sachs
Anthony Jackson
Arnold Ridley
Arthur Askey
Arthur Bostrom
Arthur Brough
Arthur English
Arthur Haynes
Arthur Lowe
Arthur Lucan
Fred Evans
John Challis
John Cleese
John Comer
John Gregson
John Inman
John Laurie
John Le Mesurier
John Louis Mansi
John Penrose
Jon Pertwee
Lee Evans
Lennard Pearce
Leonard Rossiter
Ballard Berkeley
Basil Radford
Benjamin Smith
Benny Hill
Bernard Bresslaw
Bill Owen
Bill Pertwee
Billie Ritchie
Billy Bennett
Bob Grant
Bob Monkhouse
Brian Hall
Brian Murphy
Brian Wilde
Bud Flanagan
Burt Kwouk
Buster Merryfield
Gavin Richards
Geoffrey Palmer
George Cole
George Formby
George Robey
Graham Chapman
Graham Moffatt
Ian Lavender
Ian Trigger
Patrick Cargill
Stan Laurel
Stanley Holloway
Melvyn Hayes
Richard Haydn
Richard Marner
Richard Murdoch
Richard Wattis
Richard Wilson
Ricky Gervais
Ricky Tomlinson
Rik Mayall
Tony Hancock
Tony Robinson
Cecil Parker
Cecil Ramage
Charles Hawtrey
Charlie Chaplin
Charlie Naughton
Donald Houston
Donald Sinden
Dudley Moore
Guy Siner
Matt Berry
Matt Lucas
Mike Berry
Mike Burns
Mike Grady
Mike Yarwood
Miles Malleson
Nicholas Lyndhurst
Nicholas Smith
Nick Frost
Nick Helm
Reg Varney
Rowan Atkinson
Roy Castle
Roy Heather
Rudolph Walker
Tim Marriott
Tim McInnerny
Trevor Bannister
Dennis Price
Derek Fowlds
Derek Royle
Gary Waldhorn
Leslie Fuller
Leslie Phillips
Max Miller
Max Wall
Michael Aldridge
Michael Bates
Michael Bentine
Michael Crawford
Michael Palin
Nat Jackley
Warren Mitchell
Colin Bean
Craig Charles
Eric Campbell
Eric Idle
Eric Morecambe
Eric Sykes
Francis L. Sullivan
Frank Randle
Frank Thornton
Frank Williams
Frankie Howerd
Gorden Kaye
Gordon Wharmby
Lupino Lane
Mark Daly
Martin Clunes
Martin Freeman
Pierre Novellie
Sid James
Simon Pegg
Spike Milligan
Stephen Fry
Stephen Lewis
Stephen Merchant
Steve Coogan
Tom Owen
Tommy Handley
Tommy Trinder
Chesney Allen
Chris Barrie
Clive Dunn
Clive Morton
Clive Swift
Dan Young
Danny John-Jules
Danny O'Dea
David Janson
David Jason
David Mitchell
David Walliams
Dick Emery
Dirk Bogarde
Edward Chapman
Edward Sinclair
Ernie Wise
Hugh Laurie
Hugh Paddick
Jack Douglas
Jack Haig
Jack Hulbert
Jack Smethurst
Jack Warner
James Beck
James Bolam
James Dreyfus
James Finlayson
James Hayter
Jerry Desmonde
Jim Dale
Jimmy Jewel
Joe Gladwin
Keith Clifford
Kenneth Connor
Kenneth MacDonald
Kenneth More
Kenneth Williams
Kenny Everett
Moore Marriott
Sam Kelly
Larry Martyn
Marty Feldman
Will Hay
William Hartnell
Windsor Davies
Greg McHugh
Gus McNaughton
James Robertson Justice
Jamie Demetriou
Karl Howman
Naunton Wayne
Roger Kitter
Roger Lloyd-Pack
Russ Abbot
Russell Brand
Ted Ray
Harold Bennett
Harry Enfield
Harry H. Corbett
Harry Secombe
Harry Tate
Harry Worth
Herbert Lom
Hilary Minster
Patrick Murray
Paul Barber
Paul Eddington
Paul Nicholas
Peter Butterworth
Peter Capaldi
Peter Gawthorne
Peter Kay
Peter Sallis
Peter Sellers
Robb Wilton
Robert Fyfe
Robert Lindsay
Robert Llewellyn
Robert Webb
Robin Askwith
Robin Parkinson
Robin Stewart
Norman Evans
Norman Wisdom
Richard Ayoade
Richard Beckinsale
Richard Briers
Richard Dawson
Richard Gibson
Ronald Frankau
Ronald Shiner
Ronnie Barker
Ronnie Corbett
Sacha Baron Cohen
Sandy Powell
Terry-Thomas
Terry Gilliam
Terry Jones
Terry Scott
