Raf Baldassarre
Raffaele Pisu
Raoul Bova
Raoul Grassilli
Ray Lovelock
Salvatore Esposito
Luca Calvani
Luca De Filippo
Luca Marinelli
Luca Ward
Luca Zingaretti
Luciano De Ambrosis
Lucio Allocca
Luigi De Filippo
Luigi Maria Burruano
Luigi Pavese
Luigi Petrucci
Luigi Pistilli
Luigi Vannucchi
Manfredi Aliquò
Manlio Busoni
Manlio De Angelis
Martufello
Massimiliano Bruno
Massimo Bonetti
Massimo Ciavarro
Massimo Corvo
Massimo Dapporto
Massimo De Ambrosis
Massimo Dobrovic
Massimo Foschi
Massimo Ghini
Massimo Giuliani
Massimo Lodolo
Massimo Lopez
Massimo Mollica
Massimo Pianforini
Massimo Popolizio
Massimo Ranieri
Massimo Vanni
Massimo Venturiello
Novello Novelli
Sergio Assisi
Sergio Di Giulio
Sergio Di Stefano
Sergio Fantoni
Sergio Fiorentini
Sergio Leonardi
Tino Buazzelli
Tino Carraro
Gualtiero De Angelis
Guglielmo Inglese
Guido Caprino
Guido Leontini
Guido Mannari
Jonis Bascir
Kaspar Capparoni
Kledi Kadiu
Nando Gazzolo
Nazzareno Natale
Rolando Ravello
Ruggero Pasquarelli
Haruhiko Yamanouchi
Ivano De Matteo
Ivano Marescotti
Peppino Mazzotta
Marco Bocci
Marco D'Amore
Marco Foschi
Marco Giallini
Marco Guglielmi
Marco Marzocca
Marco Messeri
Marco Tulli
Omero Antonutti
Orazio Orlando
Oreste Lionello
Orso Maria Guerrini
Paolo Briguglia
Paolo Buglioni
Paolo Carlini
Paolo Hendel
Paolo Poiret
Paolo Poli
Paolo Rossi
Paolo Sassanelli
Remo Girone
Remo Remotti
Renato Carpentieri
Renato Cecchetto
Renato Cestiè
Renato De Carmine
Renato Izzo
Renato Montalbano
Renato Mori
Renato Turi
Renzo Cesana
Renzo Giovampietro
Renzo Montagnani
Roberto Accornero
Roberto Bisacco
Roberto Chevalier
Roberto Citran
Roberto Del Giudice
