Aadesh Bandekar
Abhijeet Chavan
Abhijeet Khandkekar
Abhiram Bhadkamkar
Adinath Kothare
Aditya Modak
Ajay Wadhavkar
Ajinkya Deo
Alok Rajwade
Amey Wagh
Amol Palekar
Amrish Puri
Anant Jog
Anant Marathe
Aniket Vishwasrao
Ankush Chaudhari
Anshuman Joshi
Anshuman Vichare
Anupam Kher
Arun Sarnaik
Arvind Deshpande
Ashok Kumar
Ashok Saraf
Ashok Shinde
Atul Kulkarni
Bal Dhuri
Bal Karve
Bhalchandra Kadam
Bharat Jadhav
Lalit Prabhakar
Loose Mohan
Madan Deodhar
Madan Jain
Madhukar Toradmal
Mahesh Kothare
Mahesh Manjrekar
Parth Bhalerao
Purushottam Laxman Deshpande
Pushkar Jog
Pushkar Shrotri
Pushkaraj Chirputkar
Subodh Bhave
Sudhir Joshi
Sumedh Mudgalkar
Sunil Barve
Suresh Haldankar
Tapan Acharya
Mohan Agashe
Mohan Gokhale
Mohan Joshi
Satish Dubhashi
Sayaji Shinde
Shreyas Talpade
Shrikant Moghe
Shrikant Yadav
Shriram Lagoo
Shrirang Godbole
Vijay Chavan
Vijay Gokhale
Vijay Patkar
Viju Khote
Viju Mane
Vikram Gokhale
Chandrakant Gokhale
Chandrakant Mandare
Dushyant Wagh
Master Vinayak
Master Vithal
Milind Gawali
Milind Gunaji
Milind Shinde
Nikhil Raut
Nilesh Jalamkar
Nilesh Sable
Nilu Phule
Nishikant Kamat
Sameer Dharmadhikari
Shankar Nag
Sharad Kelkar
Sharad Talwalkar
Shashank Shende
Gajanan Digambar Madgulkar
Gajanan Jagirdar
Ganpat Patil
Gashmeer Mahajani
Keshavrao Date
Kuldeep Pawar
Kushal Badrike
Girish Karnad
Girish Kulkarni
Girish Oak
Govindrao Tembe
Kamlesh Sawant
Laxmikant Berde
Makarand Anaspure
Shahu Modak
Siddharth Chandekar
Siddharth Menon
Siddhartha Jadhav
Chintamani Govind Pendse
Dada Kondke
Dattatray Ramachandra Bhat
Dhumal
Dilip Prabhavalkar
Jackie Shroff
Jairam Hardikar
Jitendra Joshi
Ravi Kale
Ravi Patwardhan
Ravindra Mahajani
Maadhav Deochake
Hrishikesh Joshi
Kashinath Ghanekar
Kiran Karmarkar
Kishor Kadam
Kishore Nandlaskar
Nachiket Dighe
Nagesh Bhonsle
Suryakant Mandhare
Suvrat Joshi
Suyash Tilak
Swapnil Joshi
Vaibhav Mangle
Raja Gosavi
Raja Paranjape
Rajpal Yadav
Ramesh Bhatkar
Ramesh Deo
Om Puri
Paidi Jairaj
Piyush Mishra
Prabhakar Panshikar
Pradeep Patwardhan
Prakash Bare
Prasad Oak
Prashant Damle
Prathamesh Parab
Priyadarshan Jadhav
Sachin Khedekar
Sachit Patil
Sadashiv Amrapurkar
Sanjay Mone
Sanjay Narvekar
Sanjay Shejwal
Santosh Juvekar
Tushar Dalvi
Upendra Limaye
