Alexander Otaola
Alexis Valdés
Bárbaro Marín
Steven Bauer
Vladimir Cruz
Miguel Benavides
Miguelito Valdés
Otto Sirgo
Desi Arnaz
Leopoldo Fernández
Emerson Romero
Enrique Herrera
Enrique Molina
Germán Pinelli
Luis Ávalos
Tony Cortes
Javier Valcárcel
Pucho Fernández
Rafael Banquells
Rafael Bertrand
Luis Moro
Luis Oquendo
Sergio Corrieri
Tito Junco
Jorge Luis Pila
Jorge Perugorría
Rogelio Blaín
Ramiro Martinez
Orestes Matacena
Renny Arozarena
René Ariza
René Muñoz
Reynaldo Miravalles
