Abelard Giza
Adam Brodzisz
Adam Hanuszkiewicz
Adam Pawlikowski
Adam Woronowicz
Adolf Dymsza
Aleksander Bardini
Aleksander Krupa
Aleksander Sewruk
Aleksander Zelwerowicz
Aleksander Żabczyński
Andrzej Blumenfeld
Andrzej Bogucki
Andrzej Grabarczyk
Andrzej Grabowski
Andrzej Seweryn
Andrzej Strzelecki
Andrzej Łapicki
Antoni Fertner
Artur Barciś
Artur Pontek
Henryk Bista
Henryk Rzętkowski
Henryk Vogelfänger
Jonas Turkow
Leon Niemczyk
Leonard Andrzejewski
Leonard Pietraszak
Bernard Ładysz
Bogumił Kobiela
Bogusz Bilewski
Bogusław Samborski
Bronisław Cieślak
Bruno O'Ya
Maciej Maciejewski
Maciej Stuhr
Miłogost Reczek
Stanisław Bareja
Stanisław Gawlik
Stanisław Grolicki
Stanisław Jaśkiewicz
Stanisław Mikulski
Stanisław Sielański
Paweł Owerłło
Paweł Wawrzecki
Tadeusz Bradecki
Tadeusz Fijewski
Tadeusz Janczar
Tadeusz Kwinta
Tadeusz Schmidt
Tadeusz Skarzyński
Tadeusz Łomnicki
Vladek Sheybal
Zbigniew Cybulski
Zbigniew Sawan
Zdzisław Karczewski
Zdzisław Mrożewski
Mateusz Damięcki
Mikołaj Cieślak
Feliks Żukowski
Krzysztof Kiersznowski
Krzysztof Kolberger
Wiesław Gołas
Wiesław Michnikowski
Wieńczysław Gliński
Wiktor Biegański
Wiktor Zborowski
Władysław Grabowski
Władysław Hańcza
Władysław Komar
Władysław Walter
Emil Karewicz
Franciszek Brodniewicz
Franciszek Pieczka
Ignacy Gogolewski
Igo Sym
Józef Cornobis
Józef Kempa
Józef Kondrat
Józef Kostecki
Józef Nowak
Józef Węgrzyn
Lech Mackiewicz
Lech Owron
Marian Opania
Marian Rentgen
Marian Wyrzykowski
Mariusz Dmochowski
Mieczysław Cybulski
Mieczysław Czechowicz
Mieczysław Kotlarczyk
Mieczysław Pawlikowski
Mieczysław Stoor
Mieczysław Tarnawski
Piotr Bajor
Piotr Fronczewski
Stefan Hnydziński
Stefan Jaracz
Tomasz Borkowy
Zygmunt Biesiadecki
Zygmunt Chmielewski
Zygmunt Hübner
Zygmunt Kęstowicz
Zygmunt Malanowicz
Czesław Skonieczny
Daniel Olbrychski
Edward Dziewoński
Edward Żentara
Eugeniusz Bodo
Jacek Braciak
Jacek Chmielnik
Jacek Fedorowicz
Jacek Woszczerowicz
Janusz Gajos
Jerzy Bińczycki
Jerzy Bończak
Jerzy Duszyński
Jerzy Jeszke
Jerzy Klimaszewski
Jerzy Kryszak
Jerzy Leszczyński
Jerzy Marr
Jerzy Pichelski
Jerzy Przybylski
Jerzy Zelnik
Kazimierz Junosza-Stępowski
Kazimierz Krukowski
Kazimierz Rudzki
Kazimierz Wajda
Kazimierz Wichniarz
Ludwik Fritsche
Ludwik Lawiński
Ludwik Sempoliński
Ludwik Solski
Wirgiliusz Gryń
Witold Conti
Witold Sadowy
Witold Zacharewicz
Wojciech Alaborski
Wojciech Klata
Wojciech Ruszkowski
Gustaw Holoubek
Jan Englert
Jan Frycz
Jan Kiepura
Jan Kobuszewski
Jan Kociniak
Jan Koecher
Jan Kreczmar
Jan Kurnakowicz
Jan Peszek
Jan Prochyra
Jan Pęczek
Roman Polanski
Roman Wilhelmi
Ryszard Kierczyński
Łukasz Simlat
Marcin Kołodyński
Marek Perepeczko
Romuald Gierasieński
