Abdul Mahmudov
Abram Room
Agadadash Gurbanov
Ahmed Agdamski
Alasgar Alakbarov
Albert Filozov
Aleksandr Adabashyan
Aleksandr Demyanenko
Aleksandr Domogarov
Aleksandr Feklistov
Aleksandr Leonidovich Vishnevsky
Aleksandr Loye
Aleksandr Zbruyev
Aleksei Dikiy
Aleksei Maklakov
Aleksei Petrenko
Aleksei Zharkov
Alexander Gordon
Alexander Kaidanovsky
Alexander Khochinsky
Alexander Ostuzhev
Alexander Yelagin
Alexei Devotchenko
Alexey Glyzin
Algimantas Masiulis
Algis Matulionis
Aliagha Aghayev
Andrei Panin
Andrei Rostotsky
Andrey Ilyin
Andrey Smolyakov
Ants Eskola
Archil Gomiashvili
Arkady Raikin
Armen Margaryan
Ashot Melikjanyan
Frunze Dovlatyan
Frunzik Mkrtchyan
Ipolite Khvichia
Isa Musayev
Azat Sherents
Baadur Tsuladze
Boris Amarantov
Boris Brunov
Boris Grachevsky
Boris Khimichev
Boris Leskin
Boris Livanov
Boris Nevzorov
Bruno O'Ya
Gennady Nazarov
Mirza Babayev
Mirzaagha Aliyev
Pyotr Shcherbakov
Pyotr Zaychenko
Oleg Pogudin
Oleg Popov
Oleg Vidov
Victor Dyomin
Viktar Dashkevich
Viktor Koval
Vilen Galstyan
Vitali Kishchenko
Vladimir Gostyukhin
Vladimir Korenev
Vladimir Lepko
Vladimir Mashkov
Vladimir Nosik
Vladimir Permyakov
Vladimir Presnyakov Jr.
Vladimir Samoilov
Vladimir Soshalsky
Vladimir Vinokur
Vladimir Vysotsky
Vladimir Zemlyanikin
Vladimir Zharikov
Vladlen Davydov
Yuri Kayurov
Yuri Lavrov
Yuri Lyubimov
Yuri Merkulov
Yuri Nikolaev
Yuri Stepanov
Yuri Vasilyev
Yuri Vizbor
Yuriy Dumchev
Yvan Kyrlya
Dmitrii Frolov
Dmitry Mezhevich
Mikhail Klimov
Mikhail Kononov
Mikhail Kuznetsov
Mikhail Muromov
Mikhail Nikolayevich Zadornov
Mikhail Pugovkin
Mikhail Savoyarov
Mikhail Ulyanov
Mikk Mikiver
Nikolai Zykov
Nikolay Cherkasov
Nikolay Simonov
Osip Abdulov
Otar Koberidze
Ruben Simonov
Rudolf Nureyev
Tigran Keosayan
Fyodor Bondarchuk
Fyodor Dobronravov
Khoren Abrahamyan
Leonid Kulagin
Leonid Obolensky
Leonid Serebrennikov
Leonid Utyosov
Leonid Yakubovich
Leonid Yengibarov
Lev Borisov
Lev Lemke
Maxim Munzuk
Valentin Nikulin
Valentin Pluchek
Valeri Zolotukhin
Valeriy Brumel
Valery Leontiev
Valery Nikolaev
Valery Nosik
Valery Zhakov
Vardan Petrosyan
Vasily Shukshin
Ergash Karimov
Georgy Millyar
Gleb Glebov
Igor Kashintsev
Igor Sorin
Igor Starygin
Makhmud Esambayev
Maksim Shtraukh
Mark Bernes
Shamsi Badalbeyli
Spartak Bagashvili
Spartak Mishulin
Stepan Shagaida
Yevgeni Lazarev
Yevgeni Menshov
Yevgeni Urbansky
Yevgeny Samoylov
Yevgeny Steblov
Zikir Muhammadjonov
Zinovy Vysokovsky
David Malyan
Dinmukhamet Akhimov
Edgar Elbakyan
Filipp Yankovsky
Rashid Behbudov
Rasim Balayev
Razzoq Hamroyev
Sergei Artsibashev
Sergei Krylov
Sergei Makovetsky
Sergei Prokhanov
Sergei Stolyarov
Sergei Yursky
Sergey Dreyden
Sergey Obraztsov
Sergey Sosnovsky
Slava Polunin
Hamlet Gurbanov
Rodion Nakhapetov
Telman Adigozalov
Vadim Demchog
Vahram Papazian
Hasanagha Turabov
Hashim Gadoev
Heino Mandri
Heinrich Greif
Ivan Dykhovichny
Ivan I. Krasko
Ivan Koval-Samborsky
Ivan Lebedeff
Ivan Lyubeznov
Ivars Kalniņš
Pavel Luspekayev
Pavel Olenev
Yan Arlazorov
Nodar Mgaloblishvili
Ogtay Aghayev
Vsevolod Safonov
Vsevolod Shilovsky
Vyacheslav Spesivtsev
Vytautas Paukštė
