Alex Papps
Alwyn Kurts
Andrew James Morley
Andrew Lees
Andrew McKaige
Anthony Sharpe
Arthur Shirley
Ashley Zukerman
John Brumpton
John Ewart
John Frawley
John Harlan Kim
John Wood
Jon Finlayson
Lee Mason
Ben Anderson
Ben Esler
Ben Geurens
Ben Knight
Ben Mendelsohn
Ben Steel
Benjamin Grant Mitchell
Bernard Curry
Brad Allan
Brett Tucker
Bud Tingwell
Cameron Daddo
Geoffrey Rush
Graham Matters
Ian Smith
Louis Mandylor
Mahesh Jadu
Patrick Harvey
Puven Pather
Stanley Walpole
Sullivan Stapleton
Tony Nikolakopoulos
Torquil Neilson
Vince Colosimo
Charlie Clausen
Ditch Davey
Jeffrey Walker
Mat Stevenson
Matthew Newton
Neil Melville
Neil Pigot
Nick Giannopoulos
Nick Russell
Red Symons
Scott Major
Scott Michaelson
Sebastian Gregory
Tim Phillipps
Deniz Akdeniz
Desmond Chiam
Felix Mallard
Gareth Yuen
Gary Files
Gary Olsen
Gary Sweet
Godfrey Cass
Kevin Harrington
Kevin Miles
Kick Gurry
Kym Gyngell
Les Toth
Lewis Fiander
Max Gillies
Wilbur Dartnell
Costas Kilias
Costas Mandylor
Craig Stott
Eric Bana
Frank Baker
Frank Gatliff
Frank Sweet
Frank Thring
Glenn Meldrum
Kodi Smit-McPhee
Lawrence Leung
Lee Cormie
Luke Hemsworth
Lyall Brooks
Mark Mitchell
Martin Copping
Michael Veitch
Seán Martin Hingston
Sidney Bracey
Steve Mouzakis
Tom Budge
Tommy Dysart
Chris Hemsworth
Chris Pang
Cliff Ellen
Dallas Cairns
Dan Spielman
Daniel Pollock
Danny Alder
David Lyons
David Tredinnick
Ed Oxenbould
Eddie Perfect
Ernie Carroll
Evan Evagora
Fletcher Humphrys
Jacek Koman
Jack Charles
Jackson Gallagher
Jacob Collins-Levy
Jake Ryan
James Frecheville
James Healey
Jason Donovan
Jason Gardiner
Jason Torrens
Jesse Rosenfeld
Jesse Spencer
Morgan Baker
Ray Lawler
Sam Greco
Timothy Conigrave
Tobias Manderson-Galvin
Guido Lorraine
James Sorensen
Jamie McCarney
Jordan Patrick Smith
Joseph Singleton
Lloyd Lamble
Nazeem Hussain
Ryan Corr
Snub Pollard
Ted McNamara
Thomas M. Wright
Paul McCarthy
Paul Scardon
Peter Cummins
Peter Hayes
Peter Rowsthorn
Liam Hemsworth
Orpheus Pledger
Rob Mills
Rob Sitch
Robert Greig
Robert Rabiah
Robert Taylor
Noah Taylor
Noel Tovey
Norman Yemm
Sachin Joab
Terry Norris
Tristan Rogers
