A. W. Baskcomb
Syd Courtenay
Sylvester Morand
Tom Bateman
Tom Busby
Tom Harper
Tom Holland
Tom Macaulay
Tom Marshall
Tom Riley
Tom Terriss
Zia Mohyeddin
Chris Barrie
Chris Jarman
Chris Reilly
Chris Sandford
Christopher Bowen
Christopher Chung
Christopher Kelham
Christopher Neil
Christopher Pizzey
Christopher Simpson
Cliff Richard
Clifford McLaglen
Clifton Jones
Clive Carter
Cyril Percival
D. A. Clarke-Smith
Damien Thomas
Dan Antopolski
Dan Cunningham
Dan Fredenburgh
Dan Milne
Dan Starkey
Dan Young
Daniel Betts
Daniel Chatto
Daniel Fraser
Daniel Newman
Daniel Vivian
Danny Miller
Danny Rahim
Darcy Conyers
Darrell D'Silva
Dave O'Toole
Dave Thompson
David Ajala
David Birkin
David Byrne
David Earl
David Fahm
David Gale
David Holmes
David Hutcheson
David Keir
David King-Wood
David Lyon
David Mitchell
David Oyelowo
David Soul
David Spenser
David Sterne
David Thwaites
David Verrey
Dickie Owen
Dino Fetscher
Dino Shafeek
Dustin Demri-Burns
Dyson Lovell
Earl Cameron
Eddie Kadi
Edgar Driver
Edward Akrout
Edward Judd
Edward Randell
Ernest C. Warde
Ernest Trimingham
Ernesto Tomasini
Ewan Roberts
Hugh Bonneville
Hugh Pryse
Hugo Schuster
Hugo Weaving
Jack Bardoe
Jack Farthing
Jack Fox
Jack Hollington
Jack Lambert
Jack London
Jack McNaughton
Jacob Anderson
James Bloor
James Culliford
James Holmes
James Jaysen Bryhan
Jason Chan Chi-san
Jeremy Neumark Jones
Jim Bywater
Jim McManus
Jimmy Carr
Joel Fry
Keith Alexander
Keith Allen
Keith Skinner
Ken Parry
Kenji Takaki
Kenneth Ives
Kenneth Villiers
Morris Harvey
Raf De La Torre
Ray Barron
Ray Stevenson
Ray Winstone
Raymond Bowers
Sam Dastor
Sam Kydd
The Kipper Kids
Kai Alexander
Larry Taylor
Lauderdale Maitland
Lucian Msamati
M. A. Wetherell
MacDonald Parke
Timothy Dalton
Timothy Watson
Toby Kebbell
