Alan Dale
Albert Arlen
Alex Cubis
Alex Dimitriades
Alex O'Loughlin
Alex Romano
Alexander Archdale
Alexander Bruszt
Alexander Hodge
Alister Williamson
Andrew Bibby
Angus Sampson
Arthur Tauchert
Fredric Abbott
Henry Nixon
John Boxer
John Gaden
John Howard
John O'Hare
Leo McKern
Leon Errol
Leonardo Nam
Beau Brady
Beejan Land
Ben Lee
Ben Mingay
Bob Baines
Bob Christo
Bryan Brown
Bud Tingwell
George Beranger
George Houvardas
Grant Bowler
Grayson Waller
Louis Hunter
Mitch Firth
Tai Hara
Tanc Sade
Rick Springfield
Steven Tandy
Tahir Bilgiç
Charles Coleman
Don Crosby
Don Hany
Josh Quong Tart
Matt Doran
Mike Goldman
Nicholas Brown
Nicholas Cradock
Nicholas Papademetriou
Nicholas Rogers
Nick Tate
Reg Gorman
Rowan Witt
Sean Keenan
Sean Scully
Tim Campbell
Tim Draxl
Trader Faulkner
Denny Lawrence
Felino Dolloso
Felix Dean
Garry McDonald
Garry Who
Kevin Brennan
Kevin Colson
Kevin Taumata
Leslie George Cole
Michael Blakemore
Michael Dameski
Michael Falzon
Michael Hutchence
Michael Pate
Nathaniel Buzolic
Connor Van Vuuren
Frank Hagney
Frank Leighton
Frank O'Donnell
Justin Holborow
Karl Champley
Koby Abberton
Luke Anthony
Luke Bracey
Luke Carroll
Luke Cook
Luke Ford
Luke Icarus Simon
Malcolm Kennard
Mark Lee
Martin Dingle-Wall
Martin Sacks
Martin Vaughan
Mel Gibson
Shai Alexander
Steen Raskopoulos
Steve Le Marquand
Sydney Deane
Christian Antidormi
Christian Byers
Christopher Doyle
Christopher Egan
Cyril Ritchard
Danny Adcock
David Callan
David Nettheim
David Wenham
David Williams
Dick Fair
Dieter Brummer
Edward Ashley-Cooper
Errol Flynn
Flip Simmons
Hugh Jackman
Hugo Johnstone-Burt
Hunter Page-Lochard
Jai Courtney
Jason Chong
Jay Lyon
Joel Edgerton
Keegan Joyce
Keiynan Lonsdale
Ken James
Ken Wayne
Ray Barrett
Salvatore Coco
Sen Mitsuji
Toby Leonard Moore
James Millar
James Reid
Jordan Rodrigues
Rod Taylor
Roger Leach
Russell Crowe
Ryan Clark
Ryan Kwanten
Socratis Otto
Harry Allen
Harry Richardson
Heath Franklin
Paul Chubb
Paul Hogan
Peter Carroll
Peter Finch
Peter Kelamis
Peter Pagan
Rel Hunt
Rob Shehadie
Robert Braiden
Robert Hughes
Robert McDarra
Robert Rabiah
Richard Carter
Ron Randell
Ross Higgins
Thaao Penghlis
