Fu Biao
Leon Lai
Li Chen
Li Jindou
Bai Jingting
Ge You
Mo Tse
Su Wenmao
Sun Daolin
Tatsuya Fuji
Yu Jim-yuen
Yu Rongguang
Yuan Yuan
Yuen Siu-tien
Zhang Bo
Zhang Guangbei
Zhang Hanyu
Chang Guitian
Dong Hao
Dong Zijian
Niu Junfeng
Feng Xiaogang
Feng Yuanzheng
King Hu
Michael Chow
Wang Qing
Wang Qun
Wang Sen
Wang Xueqi
Wu Gang
Wu Jing
Wu Xiubo
Wu Zhaonan
Lin Shen
Mei Lanfang
Yin Xiangjie
Ying Da
Ying Ruocheng
Zhang Luyi
Zhang Ruoyun
Zhang Yang
Zhang Yishan
Zhu Shaowen
Zhu Zhiqiang
Chen Baoguo
Chen Yufan
Cheng Yanqiu
Chi Zhongrui
Dean Shek
Jet Li
Ji Qilin
Pu Cunxin
Lu Han
Ma Dehua
Ma Sanli
Guo Qiru
Hou Minghao
Hou Yaowen
Hu Jun
Hu Yunhao
Huang Xuan
Liu Dagang
Liu Peiqi
Liu Qiong
Liu Ruilin
Liang Guanhua
Pan Yueming
Xin Baiqing
Xu Huanshan
Yang Shaohua
Tseng Chang
Tu Honggang
