Andrew Howard
Aneirin Hughes
Anthony Hopkins
Anthony Lyn
Anthony Oliver
Aubrey Richards
Islwyn Morris
John Bach
John Rhys-Davies
John Sparkes
Ben Williams
Bernard Fox
Bryn Fôn
Hywel Bennett
Stanley Baker
Talfryn Thomas
Meredith Edwards
Mervyn Johns
Richard Ian Cox
Richard Mylan
Vincent Regan
William Simons
William Squire
Charles Morgan
Donald Houston
Jeffrey Thomas
Julian Lewis Jones
Matthew Rhys
Tim Vincent
Tim Wylton
Desmond Llewelyn
Gareth Armstrong
Gareth Hughes
Gareth Jones
Gareth Phillips
Gary Jones
Emlyn Williams
Emrys James
Ieuan Rhys Williams
Lyn Harding
Mark Lewis Jones
Michael Sheen
Steffan Rhodri
Tom Ellis
Tom Ward
Clifford Evans
Clinton Greyn
David Davies
David Lyn
E. E. Clive
Eynon Evans
Hugh Griffith
Huw Ceredig
Jack Livesey
Ray Henwood
Ray Milland
Ray Smith
Kai Owen
Owain Arthur
Owen Teale
Jonathan Pryce
Karl Johnson
Naunton Wayne
Roddy Hughes
Roger Rees
Ryan Davies
Harry Secombe
Ivor Novello
Paul Whitsun-Jones
Peter Halliday
Peter Penry-Jones
Peter Wingfield
Philip Sayer
Rob Brydon
Robert Pugh
Robert Wilfort
Powys Thomas
Rex Richards
Rhys Ifans
Rhys Williams
Richard Burton
Ronald Lewis
Ronnie Williams
Terry Jones
Tudor Owen
