A.J. Saudin
A. J. Buckley
Aaron Abrams
Aaron Ashmore
Aaron Douglas
Aaron James Sorensen
Aaron Poole
Aaron Schwartz
Aaron Smolinski
Adam Beach
Adam Butcher
Adam J. Harrington
Adam Korson
Adam MacDonald
Adam Reid
Adam Tsekhman
Adamo Ruggiero
Adrian Scott
Aidan Devine
Aidan Shipley
Al Mukadam
Al Mulock
Al Waxman
Alain Moussi
Alan Crofoot
Alan Frew
Alan Gordon
Alan Scarfe
Alan Thicke
Alan Young
Alan van Sprang
Albert M. Chan
Albert Millaire
Albert Schultz
Aleks Paunovic
Alex Carter
Alex Diakun
Alex Ferris
Alex House
Alex Karzis
Alex Lifeson
Alex Ozerov
Alex Zahara
Alexander Calvert
Alexander Chapman
Alexander Conti
Alexander Gaden
Alexander Knox
Alexander Ludwig
Alexander Pollock
Alexandre Despatie
Alexandre Landry
Alf Humphreys
Alfie Scopp
Ali Badshah
Ali Kazmi
Alistair Abell
Allan F. Nicholls
Allan Hawco
Allan Moyle
Alpha Boucher
Andre Tricoteux
Andrew Airlie
Andrew Chalmers
Andrew Francis
Andrew Jackson
Andrew Jenkins
Andrew McNee
Andrew Miller
Andrew Pifko
Andrew Tite
Andrew Walker
André Dae Kim
André Melançon
Andy Jones
Andy McQueen
Andy Thompson
Angelo Tsarouchas
Angus MacInnes
Angus Sutherland
Anthony J. Mifsud
Anthony Kramreither
Anthony Lemke
Anthony Sherwood
Antoine Bertrand
Antoine L'Écuyer
Antoine Olivier Pilon
Antoine Vézina
Antoni Cimolino
Antonio Cupo
Ardon Bess
Ari Cohen
Ari Millen
Arnold Pinnock
Art Hindle
Arthur Grosser
Arthur Hill
Arthur Holden
Arthur Walsh
Asaph Fipke
Atticus Mitchell
Attila Bertalan
Aubert Pallascio
August Schellenberg
Austin MacDonald
Austin Willis
Avan Jogia
Avery Saltzman
François Arnaud
François Delisle
François Létourneau
François Papineau
François Rozet
Fraunie Fraunholz
Fred Cheng
Fred Ewanuick
Fred Keating
Fred Woodward
Frederick Vroom
Fulton Burley
Fulvio Cecere
Henry Beckman
Henry Corden
Henry Czerny
Irdens Exantus
Isaac Durnford
Isaac Kragten
Ishan Davé
Joel Thomas Hynes
Joey Cramer
John Boylan
John Bregar
John Candy
John Cassini
John Catucci
John Colicos
John DeSantis
John Dunsworth
John Harvey Gahan
John Ireland
John Kapelos
John Mann
John McLiam
John Mighton
John Nesbitt
John Novak
John Paizs
John Paul Ruttan
John Paul Tremblay
John Payne
John Pyper-Ferguson
John Qualen
John Ralston
John Reardon
John Stephen Hill
John Vernon
John White
John Wildman
Johnny Orlando
Johnny Washbrook
Jon Cor
Jon McLaren
Jonas Chernick
Jonathan Cherry
Lee Jae-yoon
Lee Majdoub
Lee Montgomery
Lee Patterson
Len Birman
Len Cariou
Lennox Lewis
Leo Scherman
Leon Dubinsky
Leon Pownall
Barclay Hope
Barrie Dunn
Barry Morse
Barry Pepper
Beau Mirchoff
Ben Bass
Ben Blue
Ben Cotton
Ben Hollingsworth
Ben Lewis
Benjamin Ayres
Benjamin Ratner
Benoît Gouin
Benoît McGinnis
Benz Antoine
Berend McKenzie
Bernard Behrens
Bernard Robichaud
Bernie Coulson
Berton Churchill
Bill Carr
Bill Lake
Bill Nagy
Bill Switzer
Billy Chow
Billy Merasty
Billy Van
Blake Mawson
Bob Bainborough
Bob Cole
Bob Dawson
Bob Dolman
Bob Frazer
Bob Martin
Bob Nolan
Bob Random
Booth Savage
Boyd Banks
Brad Goddard
Brad Sihvon
Bradley Lavelle
Brandon Firla
Brandon Jay McLaren
Brandon Ludwig
Brendan Fehr
Brendan Fletcher
Brendan Fraser
Brendan Gall
Brendan Meyer
Brendan Penny
Brennan Clost
Brennan Elliott
Brent Barraclough
Brent Butt
Brent Carver
Bret Hart
Brett Dier
Brett Kelly
Brian Downey
Brian Markinson
Bronson Pelletier
Bruce Boa
Bruce Dinsmore
Bruce Gray
Bruce Greenwood
Bruce Harwood
Bruce McCulloch
Bruce McDonald
Bruce Ramsay
Bruno Gerussi
Bryan Madorsky
Burkely Duffield
Byrd Dickens
Byron Chief-Moon
Byron Lawson
C. David Johnson
C. Ernst Harth
Caelum Vatnsdal
Cainan Wiebe
Callum Keith Rennie
Calum Worthy
Cam Neely
Cameron Bright
Cameron Brodeur
Cameron Mathison
Carl Banas
Carl Marotte
Carlo Rota
Carlos Patricio Díaz
Carson MacCormac
Carter Hayden
Cas Anvar
Gavin Crawford
Gavin Fox
Gavin McInnes
Gene Lockhart
Geoffrey Bowes
George A. Romero
George Buza
George Chiang
George Cleveland
George Clutesi
George Finn
George Hall
George R. Robertson
Graham Greene
Graham Jarvis
Graham Ludlow
Graham Verchere
Graham Wardle
Grahame Wood
Great Antonio
Iain Quarrier
Ian Gouw
Ian Tracey
Lamar Johnson
Lance Kinsey
Landon Liboiron
Lochlyn Munro
Lorne Cardinal
Lorne Greene
Lorne Michaels
Lothaire Bluteau
Lou Jacobi
Louie Lawless
Louis-José Houde
Louis-Philippe Dury
Louis Chirillo
Louis Del Grande
Louis Ferreira
Louis Morissette
Louis Negin
Louis Turenne
Mackenzie Gray
Murray Westgate
Pat Mastroianni
Pat Mills
Pat Thornton
Patrice Robitaille
Patrick Gallagher
Patrick Gilmore
Patrick Hivon
