Leonid Leonidov
Leonid Markov
Leonid Nevedomsky
Leonid Yarmolnik
Les Serdyuk
Lev Barashkov
Lev Durov
Lev Prygunov
Valentin Smirnitsky
Valentin Zubkov
Valeri Kozinets
Valeriy Priyomykhov
Valeriy Troshin
Valery Garkalin
Valery Kukhareshin
Valery Ryzhakov
Vasili Merkuryev
Vasili Vanin
Vasily Lanovoy
Vasily Livanov
Vatslav Dvorzhetsky
Eldar Ryazanov
Elguja Burduli
Emmanuil Vitorgan
Erast Garin
Georgi Burkov
Georgi Kulikov
Georgi Vasilyev
Georgi Yumatov
Georgiy Zhzhonov
Georgy Drozd
Georgy Martirosyan
Georgy Martyniuk
Georgy Millyar
Georgy Taratorkin
Georgy Vitsin
Gleb Glebov
Gleb Plaksin
Gleb Strizhenov
Gotlib Roninson
Igor Bochkin
Igor Dmitriev
Igor Gorbachyov
Igor Ilyinsky
Igor Ivanov
Igor Kirillov
Igor Kostolevsky
Igor Kvasha
Igor Ledogorov
Igor Livanov
Igor Mirkurbanov
Igor Shavlak
Igor Sklyar
Igor Vernik
Igor Vladimirov
Igor Yankovsky
Igor Yasulovich
Ilya Oleynikov
Jüri Järvet
Jānis Reinis
Konstantin Davidovsky
Konstantin Khokhlov
Konstantin Lavronenko
Konstantin Raikin
Konstantin Stepankov
Lazar Antsi-Polovsky
Lutfali Abdullayev
Maksim Shtraukh
Maksim Sukhanov
Mark Prudkin
Mark Rudinstein
Melis Abzalov
Shaken Aimanov
Shalva Dadiani
Stepan Kayukov
Yefim Kopelyan
Yevgeni Gerasimov
Yevgeni Lebedev
Yevgeny Leonov
Yevgeny Leonov-Gladyshev
Yevgeny Matveyev
Yevgeny Mironov
Yevgeny Morgunov
Yevgeny Sidikhin
Yevgeny Tashkov
Yevgeny Yevstigneyev
Zhurahon Rahmonov
Zinovy Gerdt
Zurab Kipshidze
Eduard Abalov
Eduard Martsevich
Efim Shifrin
Egor Druzhinin
Erwin Knausmüller
Evgeny Zharikov
James Lloydovich Patterson
Radner Muratov
Kakhi Kavsadze
Latif Safarov
Mamuka Kikaleishvili
Oļģerts Dunkers
Semyon Strugachyov
Sergei Bondarchuk
Sergei Garmash
Sergei Gerasimov
Sergei Gurzo
Sergei Kolesnikov
Sergei Lukyanov
Sergei Tsenin
Sergei Vasilyev
Sergei Yakovlev
Sergey Batalov
Sergey Filippov
Sergey Koltakov
Sergey Komarov
Sergey Martinson
Sergey Migitsko
Sergey Shakurov
Sergey Zhigunov
Sergo Zakariadze
Gregory Hlady
Grigore Grigoriu
Grigori Abrikosov
Grigori Belov
Grigory Shpigel
Hamlet Gurbanov
Hamo Beknazarian
Hrachia Nersisyan
Jamshid Zokirov
Karlo Sakandelidze
Kirill Lavrov
Rogvold Sukhoverko
Rolan Bykov
Roman Filippov
Roman Kartsev
Roman Madyanov
Roman Tkachuk
Vadim Andreyev
Vadim Beroev
Vadim Spiridonov
Vadim Zakharchenko
Vagharsh Vagharshian
Hasan Mammadov
Ivan Kuznetsov
Ivan Lapikov
Ivan Moskvin
Ivan Mykolaichuk
Ivan Perestiani
Ivan Pereverzev
Ivan Ryzhov
Pavel Arsenov
Pavel Kadochnikov
Pavel Morozenko
Pavel Pavlenko
Petr Shelokhonov
Yan Tsapnik
Obid Asomov
Porfiri Podobed
Romualdas Ramanauskas
Rostislav Plyatt
Rostislav Yankovsky
Uldis Pūcītis
Uno Loop
Veniamin Smekhov
Volodymyr Talashko
Vsevolod Aksyonov
Vsevolod Larionov
Vsevolod Pudovkin
Vsevolod Sanayev
Vyacheslav Nevinny
Vyacheslav Razbegaev
Vyacheslav Shalevich
Vyacheslav Tikhonov
Vyacheslav Voronin
