Alan David
Aled Pugh
Alexander Vlahos
Andrew Howard
Andy Hockley
Andy Whitfield
Aneirin Hughes
Aneurin Barnard
Anthony Hopkins
Anthony O'Donnell
Anthony Oliver
Arwyn Davies
Aubrey Richards
Ioan Gruffudd
Islwyn Morris
John Bach
John Golightly
John Ogwen
John Rhys-Davies
John Sparkes
Lee Williams
Leon Pownall
Ben Addis
Ben Roberts
Ben Williams
Bernard Fox
Bernard Lloyd
Brook Williams
Bryn Fôn
Hywel Bennett
Iain Rogerson
Ian Puleston-Davies
Ian Virgo
Ian Whyte
Llŷr Ifans
Stan Stennett
Stanley Baker
Talfryn Thomas
Taron Egerton
Meredith Edwards
Mervyn Johns
Neville Hughes
Richard Harrington
Richard Ian Cox
Richard Lynch
Richard Mylan
Steve Speirs
Steven Meo
Victor Spinetti
Vincent Regan
William Simons
William Squire
William Thomas
Charles Dale
Charles Morgan
Donald Houston
Jeffrey Thomas
Julian Lewis Jones
Matt Ryan
Matthew Gravelle
Matthew Rhys
Mike Gwilym
Nicholas McGaughey
Reg Evans
Tim Treloar
Tim Vincent
Tim Wylton
Denys Graham
Desmond Llewelyn
Gareth Armstrong
Gareth David-Lloyd
Gareth Jones
Gareth Milton
Gareth Phillips
Gareth Pierce
Gareth Thomas
Garnon Davies
Michael Elwyn
Colin George
Colin McCormack
Craig Gallivan
Craig Roberts
Emrys James
Geraint Griffiths
Geraint Todd
Gerran Howell
Glyn Houston
Ieuan Rhys
Ieuan Rhys Williams
Justin Davies
Luke Evans
Mark Donovan
Mark Evans
Mark Lewis Jones
Martin Cole
Michael Sheen
Shaheen Jafargholi
Simon Armstrong
Stefan Pejic
Steffan Rhodri
Stephen Evans
Stephen J. Bush
Tom Cullen
Tom Ellis
Tom Price
Tom Rhys Harries
Tom Ward
Tony Adams
Christopher Timothy
Clifford Evans
Clinton Greyn
Clive Hill
Clive Merrison
Dafydd Hywel
Daniel Evans
Daniel Hawksford
Darragh Mortell
David Barry
David Bower
David Lyn
Dyfan Dwyfor
Ewen MacIntosh
Hubert Rees
Hugh Griffith
Hugh Thomas
Huw Ceredig
Huw Garmon
Jacob Ifan
James Coombes
Jason Hughes
Jay Curtis
Joby Ingram-Dodd
Keiron Self
Keith Baxter
Kenneth Griffith
Ray Milland
Ray Smith
Raymond Llewellyn
Kai Owen
Owain Arthur
Owain Yeoman
Owen Teale
Griff Rhys Jones
Howell Evans
James Morgan
Jonathan Pryce
Jonny Owen
Karl Johnson
Roddy Hughes
Roger Blake
Roger Rees
Russell Gomer
Russell Jones
Ryan Davies
Harry Secombe
Ivor Barry
Iwan "Iwcs" Roberts
Iwan Rheon
Paul Amos
Paul Barrett
Paul Garnault
Paul Rhys
Paul Whitsun-Jones
Peter Halliday
Peter Penry-Jones
Peter Wingfield
Phaldut Sharma
Philip Madoc
Philip Sayer
Rob Brydon
Robert Blythe
Robert East
Robert Evans
Robert Gwilym
Robert Pugh
Robert Wilfort
Robin Davies
Rhodri Meilir
Rhys Ifans
Rhys Parry Jones
Rhys Williams
Richard Davies
Richard Elis
Ronald Lewis
Ronnie Williams
Ross O'Hennessy
Terry Jones
Trystan Gravelle
Tudor Owen
