Adam Brown
Alan Carr
Alan Rowe
Alec McCowen
Alfred Lynch
Allan Corduner
Andrew Hayden-Smith
Anthony Crank
Antony Cotton
Antony Hamilton
Antony Hickling
Antony Sher
Augustus Prew
John Gielgud
John Inman
John McCrea
John Normington
John Partridge
John Reed
John Sessions
Jon Lee
Jonathan Bailey
Leon Lopez
Basil Hoskins
Ben Aldridge
Ben Daniels
Ben Forster
Ben Whishaw
Bernard Archard
Bette Bourne
Bill Buckley
Brian Bedford
C. J. de Mooi
Geoffrey Bayldon
Geoffrey Burridge
George Rose
George Shelley
Graham Chapman
Graham Payn
Ian Fairbairn
Ian Gelder
Ian Hallard
Ian McKellen
Patrick Cargill
Ollie Locke
Olly Alexander
Quentin Crisp
Richard Thomas
Richard Warwick
Richard Wattis
Rikki Beadle-Blair
Steven Webb
Tony Holland
Tony Slattery
Zeb Soanes
Charles Hawtrey
Charlie Condou
Dominic Burgess
Duncan James
Julian Clary
Matt Lucas
Matthew Waterhouse
Neil Bartlett
Neil North
Nicholas Pennell
Nick Robinson
Nicky Crane
Nigel Hawthorne
Samuel Barnett
Scott Sunderland
Declan Bennett
Derek Jacobi
Gary Bond
Kieron Richardson
Mawaan Rizwan
Max Harwood
Michael Cashman
Michael Cumpsty
Nathan Foad
Craig Robert Young
Elton John
Eric Porter
Eric Portman
Frankie Howerd
Gorden Kaye
Layton Williams
Lee Baxter
Lindsay Kemp
Mark Gatiss
Mark Michael Hutchinson
Michael Staniforth
Michael Sundin
Simon Amstell
Simon Callow
Simon Russell Beale
Simon Woods
Stephen Beresford
Stephen Fry
Tom Allen
Tom Lowe
Tony Beckley
Chris New
Christopher Biggins
Dale Winton
Daniel Boys
Daniel Brocklebank
Danny Lee Wynter
David Ames
David Cook
David Hoyle
David Spenser
DeObia Oparei
Dean Sullivan
Edmund Goulding
Edward Hibbert
Fisayo Akinade
Hugh Paddick
Hugh Skinner
Jack Birkett
Jake Maskall
James Culliford
James Dreyfus
Jaye Davidson
Jeremy Sheffield
Jimmy Edwards
Kenneth Halliwell
Kenneth Williams
Kadiff Kirwan
Toby Marlow
Will Young
Gregory Doran
James Whale
Jordan Luke Gage
Jordan Waller
Kavana
Roland Curram
Rupert Everett
Russell Tovey
Ryan Sampson
Rylan Clark
VJ Andy
Harry Andrews
Hassard Short
Hilton Edwards
Paul Danquah
Paul O'Grady
Peter Arne
Peter Dudley
Peter Hinwood
Peter Wyngarde
Phil Collinson
Philip Lowrie
Philip Voss
Wayne Sleep
Noël Coward
Omari Douglas
Rob Mallard
Robert Andrews
Ronald Eyre
Ronald Magill
Ronald Millar
Ross Adams
Terry Kilburn
Wentworth Miller
