Adrian Holmes
Alex Chu
Alex Ferris
Alexander Calvert
Alexander Ludwig
Alexander Pollock
Alvin Sanders
Andrew Kavadas
Antonio Cupo
Avan Jogia
Fred Cheng
French Tickner
Joey Cramer
John Drainie
John Ireland
John Mann
John Novak
John Qualen
Lee Patterson
Barry Cahill
Ben Bass
Benjamin Ratner
Benny Yau
Bernard Braden
Bernard Cowan
Bernie Coulson
Bill Lake
Bill Switzer
Blake Mawson
Bob Dawson
Boyd Clack
Brad Swaile
Brandon Jay McLaren
Brendan Beiser
Brent Butt
Brent Miller
Brent Titcomb
Brett Kelly
Brian Dobson
Brian Drummond
Brian Markinson
Bruce Dow
Byron Lawson
Carter Hayden
Graham Ludlow
Graham Verchere
Ian Hanlin
Sunny Gill
Quinn Lord
Richard Ian Cox
Tablo
Torrance Coombs
Tove Christensen
Vincent Tong
Zachary Ansley
Zak Santiago
Zane Holtz
Doug McGrath
Duncan Fraser
Jean-Luc Bilodeau
Jed Rees
Jeff Hyslop
Josh Epstein
Joshua Jackson
Matthew Bennett
Matthew Erickson
Mig Macario
Neil Denis
Nicholas Tse
Osric Chau
Reilly Dolman
Rudwan Khalil Abubaker
Sammy McKim
Scott Bellis
Scott Hylands
Scott McNeil
Sean Michael Kyer
Shawn Dou
Trevor Devall
Trevor White
Garry Chalk
Godfrey Gao
Kett Turton
Kevin Kerr
Kris Pope
Kris Wu
Kyle Rideout
Kyle Thomas
Leslie Cheung
Michael Bean
Michael Benyaer
Michael Dobson
Michael Ontkean
Nathan Fielder
Warren Christie
Cole Howard
Colin Mochrie
Connor Widdows
Eric McCormack
Gil Bellows
Giles Panton
Gordon Cormier
Gordon Currie
Justin Rain
K. Dock Yip
Linwood Boomer
Luke Ford
Mark Acheson
Mark Hildreth
Mark Humphrey
Mark N. Tompkins
Michael Roberds
Michael Rogers
Michael Shanks
Michael Soltis
Michal Suchánek
Mickey Moore
Seth Rogen
Seán Cummings
Steve Bacic
Tom Berenger
Tom McBeath
Tom Stevens
Zoltán Buday
Chief Dan George
Christopher Gaze
Dakota Daulby
Daniel Doheny
Dave Ward
David Cubitt
David Huynh
David Lovgren
David Paetkau
Devon Sawa
Dylan Bruce
Dylan Kingwell
Edison Chen
Edmund Hockridge
Evan Bird
Evan Thomas
Finn Wolfhard
Jack Paterson
Jackson Davies
Jacob Tremblay
Jai West
James Doohan
Jason Priestley
Jerry Snell
Jerry Trimble
Jim Byrnes
Kenneth Ma
Sam Easton
Tygh Runyan
Kaj-Erik Eriksen
MC40
Todd Talbot
Winston Rekert
Greg Anderson
Greg Tiernan
Hagan Beggs
Kirby Morrow
Roger Cross
Roman Danylo
Ryan Reynolds
Ryan Stiles
Ted Cole
Hayden Christensen
Hayden Szeto
Hiro Kanagawa
Paul Campbell
Paul Dobson
Paul McGillion
Peter Breck
Peter Chao
Peter Flemming
Peter Kelamis
Peter Stebbings
Philip Gilbert
Wayne Robson
Liam James
Marc Akerstream
Marc Singer
Robert Ito
Robert Wisden
Noel Fisher
Nolan Gerard Funk
Norm Spencer
Rossif Sutherland
Sage Brocklebank
Tetsu Nakamura
