Alfred Balthoff
Andreas von der Meden
Arne Elsholtz
Arno Paulsen
Arnold Marquis
Friedrich Schoenfelder
Friedrich Schütter
Friedrich W. Bauschulte
Helmut Krauss
Bill Kaulitz
Georg Thomalla
Patrick Bach
Tayfun Bademsoy
Oliver Rohrbeck
Oliver Stritzel
Oliver Welke
Peer Augustinski
Peer Schmidt
Rick Kavanian
Sascha Hehn
Torsten Voges
Udo Kier
Günter Schubert
Ingolf Lück
Matthias Hinze
Otto Sander
Otto Waalkes
Sebastian Schulz
Tilo Schmitz
Michael "Bully" Herbig
Michael Chevalier
Michael Habeck
Michael Hinz
Michael Mittermeier
Walter von Hauff
Constantin von Jascheroff
Elmar Wepper
Erich Fiedler
Franz Klarwein
Gert Günther Hoffmann
Gert Westphal
Ilja Richter
Ilja Rosendahl
Jürgen Frohriep
Malte Jaeger
Marius Müller-Westernhagen
Stefan Gossler
Stefan Wigger
Tom Wlaschiha
Christian Brückner
Christian Tramitz
Christoph Gutknecht
Claus Biederstaedt
Claus Wilcke
Daniel Axt
Daniel Brühl
David Turba
Dietrich Haugk
Dirk Bach
Eckart Dux
Egon Hoegen
Hubertus Bengsch
Joachim Kemmer
Joachim Kerzel
Rasmus Borowski
Raúl Richter
Curt Ackermann
Curt Lucas
Kai Peterson
Lucas Reiber
Timmo Niesner
Wilhelm Borchert
Wolfgang Völz
Wolfgang Ziffer
Gudo Hoegel
Gunter Schoß
Hans-Georg Panczak
Horst Buchholz
Horst Niendorf
Jannik Schümann
Karl Wiedergott
Klaus Havenstein
Klausjürgen Wussow
Roland Hemmo
Roland Kaiser
Rolf Schult
Thomas Danneberg
Thomas Fritsch
Hans Clarin
Hans Paetsch
Harry Giese
Harry Rowohlt
Harry Wüstenhagen
Hartmut Neugebauer
Heiner Lauterbach
Heinz Giese
Herbert Feuerstein
Herbert Köfer
Herman Bing
Patrick Mölleken
Paul Esser
Paul Falk
Paul Klinger
Peter Fricke
Peter Groeger
Philipp Brammer
Philipp Moog
Rainer Basedow
Ralf Moeller
Reiner Schöne
Norbert Gastell
Santiago Ziesmer
Tetje Mierendorf
Tristano Casanova
Werner Abrolat
