Adam Driver
Albert Finney
Alec Guinness
Anthony Franciosa
Fredric March
Henri Vilbert
John Arcilla
John Marley
John Mills
Ben Affleck
Bourvil
Brad Pitt
Burt Lancaster
Carlo Delle Piane
George Dzundza
Ian Hart
Mitchell Lichtenstein
Oleg Borisov
Toshiro Mifune
Vincent Gallo
Don Ameche
Gérard Depardieu
Götz George
Jean Gabin
Matthew Modine
Oscar Martínez
Sean Penn
Leslie Howard
Michael Fassbender
Naseeruddin Shah
Colin Firth
Emil Jannings
Ermete Zacconi
Fosco Giachetti
Michael Wright
Pierfrancesco Favino
Pierre Blanchar
Pierre Fresnay
Silvio Orlando
Stefano Accorsi
Tom Courtenay
Chris Penn
David Alan Grier
David Strathairn
Ernst Deutsch
Fabrice Luchini
Fabrizio Bentivoglio
Hugh Grant
Jack Lemmon
Jacques Perrin
Javier Bardem
Jim Broadbent
Joaquin Phoenix
Joe Mantegna
Kenneth More
Sam Jaffe
Curd Jürgens
Luca Marinelli
Luigi Lo Cascio
Massimo Troisi
Willem Dafoe
Guy Boyd
James Stewart
James Wilby
Joseph Cotten
Ljubiša Samardžić
Paul Muni
Philip Seymour Hoffman
Liam Neeson
Marcello Mastroianni
River Phoenix
Roberto Citran
Xia Yu
Wallace Beery
Wesley Snipes
