A.J. Saudin
Aaron Poole
Adam Butcher
Adam Korson
Adamo Ruggiero
Aidan Shipley
Alan Thicke
Albert Schultz
Alexander Conti
Alf Humphreys
Amir Bageria
Austin MacDonald
Isaac Durnford
Isaac Kragten
John Candy
Jon Cor
Ben Hollingsworth
Bob Frazer
Brad Sihvon
Brandon Ludwig
Brennan Clost
Brian Hill
C. Ernst Harth
Cameron Mathison
Carson MacCormac
Geoffrey Bowes
George R. Robertson
Ian Blackwood
Louis Turenne
Stuart Stone
Mena Massoud
R. H. Thomson
R. J. Adams
Richard Harmon
Vince Corazza
William Needles
Donald Davis
Donnie Keshawarz
Jeff Geddis
Jeff Hammond
Josh Richards
Joshua Close
Matt Craven
Matt Frewer
Matthew Currie Holmes
Ned Sparks
Neil McCallum
Nick Bateman
Nick Serino
Oscar O'Shea
Roy Dupuis
Roy Laidlaw
Scott Thompson
Sebastian Bach
Shaun Benson
Shawn Roberts
Del Lord
Derek Edwards
Derek McGrath
Garry Robbins
Gary Farmer
Kevin Durand
Kevin Frank
Kevin Zegers
Kris Holden-Ried
Kris Lemche
Kyle Harrison Breitkopf
Kyle Labine
Kyle Schmid
Michael Boisvert
Michael Buie
Michael Cera
Michael Cram
Michael Hogan
Michael Mahonen
Myles Erlick
Nathan Mitchell
Colin Fox
Connor Price
Corey Sevier
Craig Walker
Gerry Mendicino
Justin Peroff
Mark Wilson
Martin Lawrence
Michael Therriault
Seán Cullen
Shane Warren Jones
Simu Liu
Stephen Massicotte
Steve Ihnat
Christian Cage
Dameon Clarke
Dan Shea
Daniel Kelly
Danny Smith
Dave Kelly
Dave Madden
Dave Somerville
Dave Thomas
David Fox
David James Elliott
David Orth
David Phillips
David Reale
David Richmond-Peck
Dean Armstrong
Dillon Casey
Dylan Neal
Earle Graser
Jake LeDoux
James Lafazanos
Jared Keeso
Jason Cadieux
Jason Chan
Jay Silverheels
Jay White
Jeremy Ratchford
Joe Dinicol
Joe Pingue
Joe Sawyer
Keanu Reeves
Keith Knight
Kenne Duncan
Raoul Bhaneja
Rapley Holmes
Tyler Kyte
Tyler Labine
Curtis Harrison
Lang Jeffries
Lucas Bryant
Wilfred Lucas
Jonathan Llyr
Jonathan Wilson
Jonathon Young
Jordan Gavaris
Munro Chambers
Ryan Cooley
Ted Dykstra
Harry Ham
J. C. MacKenzie
Paul Bellini
Paul Massie
Paul O'Sullivan
Paul Shaffer
Paulo Costanzo
Peter Donaldson
Peter Wildman
Ramin Karimloo
Rob Hawke
Rob Stefaniuk
Noah Danby
Noam Zylberman
Norman Hackett
Richard Carlyle
Ron Pardo
Sandy Robson
Waawaate Fobister
Wesley Morgan
