Albert Vërria
Aleko Prodani
Andon Qesari
Bujar Lako
Mirush Kabashi
Thimi Filipi
Koço Qendro
Kristaq Antoniu
Ermal Mamaqi
Dhimitër Orgocka
Edmond Budina
Luan Qerimi
Skënder Sallaku
Llazi Sërbo
Naim Frashëri
Ndrek Luca
Ndriçim Xhepa
Roland Trebicka
Pandi Raidhi
Reshat Arbana
Robert Ndrenika
Pjetër Gjoka
Pjetër Malota
Sandër Prosi
