Siegfried Wischnewski
Simon Gosejohann
Sinan Akkuş
Stefan Konarske
Stefan Lampadius
Stefan Reck
Stefan Wigger
Steffen Jürgens
Steffen Möller
Steffen Wink
Sylvester Groth
Tom Beck
Tom Gerhardt
Tom Schilling
Tom Wlaschiha
Yasin Islek
Benedikt Negro
Christian Berkel
Christian Doermer
Christian Habicht
Christian Oliver
Christian Quadflieg
Christian Redl
Christian Stamm
Christian Tramitz
Christian Ulmen
Christian Wolff
Christian Wunderlich
Christoph Bantzer
Christoph Eichhorn
Christoph M. Ohrt
Christoph Maria Herbst
Christoph Waltz
Claus Biederstaedt
Claus Theo Gärtner
Claus Wilcke
Dan van Husen
Daniel Brühl
Daniel Fehlow
Daniel Wiemer
David Hurst
David Scheller
David Schütter
Devid Striesow
Dieter Borsche
Dieter Eppler
Dieter Hallervorden
Dieter Laser
Dieter Mann
Dieter Pfaff
Dieter Schidor
Dieter Thomas Heck
Diether Krebs
Dietmar Bär
Dietrich Hollinderbäumer
Dietrich Mattausch
Dirk Bach
Dirk Galuba
Eberhard Esche
Eckart Dux
Eddi Arent
Edgar Selge
Edgar Wenzel
Egon Monk
Egon Vogel
Ekkehardt Belle
Ernst-Georg Schwill
Ernst Deutsch
Ernst Fritz Fürbringer
Ernst Hannawald
Ernst Jacobi
Ernst Schröder
Ernst Ziegler
Ernst von Klipstein
Erol Sander
Erwin Geschonneck
Erwin Linder
Ezard Haußmann
Fabian Busch
Fabian Hinrichs
Fahri Yardım
Florian David Fitz
Florian Lukas
Hugo Schrader
Jacob Matschenz
Jacques Palminger
Jaecki Schwarz
Jaspar von Oertzen
Jesko Friedrich
Jim Boeven
Jimi Blue Ochsenknecht
Jo Herbst
Jo Weil
Joachim Bißmeier
Joachim Dietmar Mues
Joachim Fuchsberger
Joachim Kemmer
Joachim Król
Joachim Teege
Jochen Busse
Jochen Horst
Jochen Nickel
Jochen Schropp
Ken Duken
Moritz Bleibtreu
Raúl Richter
Curd Jürgens
Kai Wiesinger
Kalle Pohl
Lars Eidinger
Lars Rudolph
Ludger Pistor
Ludwig Blochberger
Ludwig Haas
Ludwig Trepte
Manfred Krug
Manfred Möck
Manfred Zapatka
Ozan Güven
Sergej Moya
Sky du Mont
Timmo Niesner
Tobias Hoesl
Tobias Nath
Tobias Schenke
Tobias Schönenberg
Wilfried Klaus
Wilhelm von Homburg
Will Quadflieg
Winfried Glatzeder
Wolf Frees
Wolf Kahler
Wolf Kaiser
Wolf Muser
Wolf Roth
Wolfgang Bahro
Wolfgang Condrus
Wolfgang Grönebaum
Wolfgang Heinz
Wolfgang Kieling
Wolfgang Lippert
Wolfgang Lukschy
Wolfgang Maria Bauer
Wolfgang Müller
Wolfgang Preiss
Wolfgang Reichmann
Wolfgang Stumph
Wolfgang Völz
Wolfgang Wahl
Wolfgang Winkler
Gunnar Möller
Gunter Schoß
Gustav Knuth
Gustav Scholz
Gustl Bayrhammer
Gustl Gstettenbaur
Haluk Piyes
Hannes Jaenicke
Hannes Messemer
Hannes Ringlstetter
Hannjo Hasse
Hanns Lothar
Hanns Zischler
Hans-Georg Panczak
Hans-Joachim Büttner
Hans-Joachim Preil
Hans-Jürgen Schatz
Hans-Michael Rehberg
Hans-Peter Reinecke
Holger Handtke
Horst Frank
Horst Giese
Horst Janson
Horst Krause
Horst Kummeth
Horst Naumann
Horst Niendorf
Horst Sachtleben
Horst Schulze
Horst Tappert
Jan Fedder
Jan Hendriks
Jan Josef Liefers
Jan Niklas
Jan Sosniok
Jannik Schümann
Jannis Niewöhner
Josef Dahmen
Josef Moosholzer
Joseph Offenbach
Karl John
Karl Lieffen
Karl Michael Vogler
Karl Wiedergott
Karlheinz Lemken
Klaus Grünberg
Klaus Havenstein
Klaus Herm
Klaus Hoffmann
Klaus Höhne
Klaus J. Behrendt
Klaus Löwitsch
Klaus Schwarzkopf
Klaus Wennemann
Klaus Zmorek
Klausjürgen Wussow
Knut Berger
Navíd Akhavan
Roland Hemmo
Rolf Becker
Rolf Herricht
Rolf Hoppe
Rolf Kanies
Rolf Römer
Rolf Schimpf
Rolf Schult
Rolf Weih
Rolf Zacher
Sven Martinek
Tekin Kurtuluş
Thomas Drechsel
Thomas Fritsch
Thomas Gumpert
Thomas Heinze
Thomas Kretschmann
Thomas Ohrner
Thomas Thieme
Thore Schölermann
Thorsten Kaye
Uwe Bohm
Uwe Friedrichsen
Uwe Karpa
Uwe Kockisch
Uwe Ochsenknecht
Vadim Glowna
Özgür Özata
Hans Caninenberg
Hans Christian Blech
Hans Clarin
Hans Finohr
Hans Fitz
Hans H. Steinberg
Hans Hessling
Hans Häckermann
Hans Korte
Hans Paetsch
Hans Peter Hallwachs
Hans Peter Korff
Hans Quest
Hans Reiser
Hans Stetter
Hans Söhnker
Hans Timmermann
Hans Werner Meyer
Hans Ziegler
Hansi Kraus
Hansjörg Felmy
Harald Juhnke
Harald Leipnitz
Harald Mannl
Harald Wolff
Hardy Krüger
Harry Baer
Harry Buckwitz
Harry Riebauer
Harry Wüstenhagen
Hartmut Becker
Hartmut Neugebauer
Hartmut Reck
Haydar Zorlu
Heiner Lauterbach
Heino Ferch
Heinrich Gies
Heinrich Schmieder
Heinz Bennent
Heinz Engelmann
Heinz Giese
Heinz Hoenig
Heinz Klevenow
Heinz Lausch
Heinz Lieven
Heinz Reincke
Heinz Schimmelpfennig
Heinz Schubert
Heinz Weiss
Hellmut Lange
Herbert A.E. Böhme
Herbert Feuerstein
Herbert Fleischmann
Herbert Knaup
Herbert Stass
Herbert Wilk
Hermann Lause
Hilmar Thate
Hilmi Sözer
Patrick Mölleken
Paul Dahlke
Paul Edwin Roth
Paul Esser
Paul Falk
Paul Frielinghaus
Paul Hansard
Paul Klinger
Paul Verhoeven
Peter Arens
Peter Borgelt
Peter Capell
Peter Ehrlich
Peter Fitz
Peter Fricke
Peter Garden
Peter Groeger
Peter Kremer
Peter Kuiper
Peter Kurth
Peter Lohmeyer
Peter Millowitsch
Peter Mosbacher
Peter Pasetti
Peter Sattmann
Peter Sodann
Peter Sturm
Peter Vogel
Philip Wiegratz
Philipp Brammer
Philipp Moog
Raimund Harmstorf
Raimund Schelcher
Rainer Basedow
Rainer Hunold
Rainer Penkert
Rainer Strecker
Rainer Werner Fassbinder
Ralf Moeller
Ralf Richter
Ralf Schmitz
Ralf Wolter
Marc Dumitru
Marc Hosemann
Marcel Hillaire
Marco Hofschneider
O. E. Hasse
Reiner Schöne
Reinhard Glemnitz
Reinhard Kolldehoff
René Bazinet
René Steinke
Robert Atzorn
Robert Graf
Robert Jarczyk
Robert Meyn
Robert Naegele
Robinson Reichel
Norbert Christian
Norbert Gastell
Prashant Prabhakar
Ronald Zehrfeld
Tristano Casanova
Ulli Kinalzik
Ulrich Matschoss
Ulrich Matthes
Ulrich Mühe
Ulrich Noethen
Ulrich Schamoni
Ulrich Tukur
Volker Bruch
Volker Herold
Volker Lechtenbrink
Volker Prechtel
Volker Spengler
Volkert Kraeft
Waldemar Kobus
Werner Abrolat
Werner Asam
Werner Dissel
Werner Finck
Werner Peters
Werner Schnitzer
Werner Schumacher
Werner Stock
Werner Stocker
