Aaron McCusker
Adam B
Adrian Dunbar
Arthur Cox
Austin Trevor
John Lynch
BJ Hogg
Ben Peel
Birdy Sweeney
Brian Milligan
Brian Rooney
Ian Beattie
Ian McElhinney
Rio Fanning
Charles Lawson
Niall Wright
Sean Caffrey
Tim McGarry
Declan Mulholland
Derek Thompson
Kevin Trainor
Kristian Nairn
Maxwell Reed
Michael Byers
Michael Colgan
Michael Condron
Michael Legge
Warren Christie
Colin Blakely
Colin Connor
Colin Morgan
Colin Murphy
Conleth Hill
Conor MacNeill
Gerald Home
Gerard Jordan
Gerard McSorley
Glen Wallace
Luke O'Reilly
Mark Aiken
Mark Ryder
Martin McCann
Martin Reid
Michael Smiley
Shane Brolly
Stephen Kennedy
Stephen Rea
Steve Furst
Chris Patrick-Simpson
Chuck Faulkner
Ciarán Hinds
Ciarán McMenamin
Damian McGinty
Damian O'Hare
Damon Quinn
Dan Gordon
David Caves
David Hurst
Jackie Wright
James Ellis
James Greene
Jimeoin
Jimmy Cricket
Keith Law
Kenneth Branagh
Ray Stevenson
William Caulfield
James Nesbitt
James Young
Jamie Dornan
Jonathan Harden
Jonjo O'Neill
Harold Goldblatt
Harry Towb
J. G. Devlin
J. J. Murphy
Patrick Magee
Patrick O'Kane
Paul Loughran
Liam Neeson
