Alan Arkin
Anthony Quinn
John Gielgud
John Houseman
John Mills
Barry Fitzgerald
Ben Johnson
Benicio del Toro
Brad Pitt
Burl Ives
Gene Hackman
George Burns
George Chakiris
George Clooney
George Kennedy
George Sanders
Louis Gossett Jr.
Mahershala Ali
Melvyn Douglas
Charles Coburn
Don Ameche
Donald Crisp
Red Buttons
Sam Rockwell
Sean Connery
Tim Robbins
Denzel Washington
Kevin Kline
Kevin Spacey
Michael Caine
Van Heflin
Walter Brennan
Walter Huston
Walter Matthau
Frank Sinatra
Gig Young
Mark Rylance
Martin Balsam
Martin Landau
Tommy Lee Jones
Chris Cooper
Christian Bale
Christoph Waltz
Christopher Plummer
Christopher Walken
Daniel Kaluuya
Dean Jagger
Ed Begley
Edmond O'Brien
Edmund Gwenn
Hugh Griffith
Jack Albertson
Jack Lemmon
Jack Nicholson
Jack Palance
James Coburn
James Dunn
Jared Leto
Jason Robards
Javier Bardem
Jim Broadbent
Joe Pesci
Joel Grey
Morgan Freeman
Cuba Gooding Jr.
Timothy Hutton
Haing S. Ngor
Joseph Schildkraut
Karl Malden
Thomas Mitchell
Harold Russell
Heath Ledger
J. K. Simmons
Peter Ustinov
Robert De Niro
Robin Williams
Troy Kotsur
