Adrien Brody
Al Pacino
Alec Guinness
Anthony Hopkins
Art Carney
Fredric March
Henry Fonda
John Wayne
Jon Voight
Lee Marvin
Leonardo DiCaprio
Ben Kingsley
Bing Crosby
Broderick Crawford
Burt Lancaster
Casey Affleck
Gene Hackman
Geoffrey Rush
George Arliss
George C. Scott
Victor McLaglen
Yul Brynner
Charles Laughton
Jean Dujardin
Jeff Bridges
José Ferrer
Matthew McConaughey
Nicolas Cage
Sean Penn
Denzel Washington
Gary Cooper
Gary Oldman
Kevin Spacey
Maximilian Schell
Michael Douglas
Warner Baxter
Colin Firth
Emil Jannings
Ernest Borgnine
Forest Whitaker
Laurence Olivier
Lionel Barrymore
Marlon Brando
Sidney Poitier
Spencer Tracy
Tom Hanks
Charlton Heston
Clark Gable
Cliff Robertson
Daniel Day-Lewis
David Niven
Dustin Hoffman
Eddie Redmayne
F. Murray Abraham
Humphrey Bogart
Jack Lemmon
Jack Nicholson
James Cagney
Jeremy Irons
Joaquin Phoenix
Ray Milland
Will Smith
William Holden
William Hurt
Gregory Peck
James Stewart
Jamie Foxx
Rod Steiger
Russell Crowe
Paul Lukas
Paul Muni
Paul Newman
Paul Scofield
Peter Finch
Philip Seymour Hoffman
Rami Malek
Robert De Niro
Robert Donat
Robert Duvall
Roberto Benigni
Rex Harrison
Richard Dreyfuss
Ronald Colman
Wallace Beery
