Agim Qirjaqi
Albert Vërria
Andon Qesari
Arben Biba
Besnik Bisha
Bujar Lako
Mirush Kabashi
Sulejman Pitarka
Julian Deda
Nik Xhelilaj
Kristaq Dhamo
Erbi Ago
Ermal Mamaqi
Ilir Jaçellari
Dhimitër Orgocka
Edmond Budina
Kadri Roshi
Luan Qerimi
Kledi Kadiu
Llazi Sërbo
Ndrek Luca
Ndriçim Xhepa
Roland Trebicka
Orli Shuka
Reshat Arbana
Robert Ndrenika
Piro Qirjo
Pjetër Gjoka
Pjetër Malota
Sandër Prosi
