Alan Tang
Fung Fung
Fung Hak-On
Lee Hoi-chuen
Bolo Yeung
Bowie Wu
Lo Hoi-pang
Stanley Fung
Sun Ma Sze Tsang
Sun Xing
Tang Kee-chan
Qi Yuwu
Richard Ng
Willie Fung
Yuen Cheung-yan
Yuen Woo-ping
Zeng Shunxi
Chang Yi
Donnie Yen
Ti Lung
Kris Wu
Kwan Hoi-san
Kwan Tak-hing
Walter Tso
Gordon Liu
Kong Ngai
Law Kar-ying
Luo Pinchao
Zhang Songwen
Chen Kuan-tai
Chen Zheyuan
Chi Kuan-chun
Chin Siu-ho
Chor Yuen
Evergreen Mak Cheung-ching
Lau Kar-leung
Lau Kar-wing
Situ Huimin
Wong Hok-Sing
Wong Wah-bo
Ha Yu
James Tien
James Wong Jim
Karl Maka
Xu Kai
Norman Chui
Wen Junhui
