Adam Nagaitis
Alex Bain
Alfie Boe
Andrew Hilton
Anthony Sagar
John Inman
John Mahoney
John Nightingale
John Saint Ryan
John Simm
John Sumner
Johnny Vegas
Jon Culshaw
Lee Ingleby
Lee Mack
Liam Boyle
Ben Kingsley
Bertie Wright
Bill Tarmey
Blake Butler
Brian Wilde
Bruce Myers
Ian Barritt
Ian McKellen
Ian McShane
Richard Lumsden
Richard Moore
Ricky Tomlinson
Sonny Flood
Steve Pemberton
Tony Gardner
Tony Melody
William Thomas Lewis
Charles Victor
Jeff Barlow
Jeffrey Perry
Neil McDermott
Roy Barraclough
Samuel Roukin
Tim Barlow
Michael Hurst
Nathan Gladwell
Colin Bean
Colin Welland
Craig Parkinson
Eric Sykes
Ernest Butcher
Frank Atkinson
Frank Finlay
Gerald Rawlinson
Malcolm Hebden
Steve Coogan
Tom Lister
Tony Audenshaw
Christopher Eccleston
Daniel Ryan
David Cook
David Lonsdale
David Ross
David Thewlis
Dean Lennox Kelly
Dick Wilson
Jack Deam
James Cartmell
Joe Gilgun
Keith Marsh
Ken Morley
Sam Aston
Lucien Laviscount
William Ash
Gregory Doran
Jonathan Howard
Jonathan Slinger
Rodney Litchfield
Thomas Morrison
Herbert Lomas
J. Pat O'Malley
Pete Postlethwaite
Peter Chelsom
Peter Kay
Peter Purves
Philip Bretherton
Ralf Little
Paddy McGuinness
Robert Dorning
Robert Shaw
Robin Kermode
Norman Pierce
