40
A.J. Saudin
Victor Garber
Victor Jory
Victor Webster
Vik Sahay
Vince Corazza
Vince Murdocco
Vincent-Guillaume Otis
Vincent Gale
Vladimir Kulich
Vlasta Vrána
William Patterson Dunlop
William Shatner
William deVry
Yvan Ducharme
Yvan Ponton
Yves Corbeil
Yves Jacques
Yves Trudel
Yvon Barrette
Zachary Ansley
Zachary Bennett
Zack Ward
Zaib Shaikh
Zak Santiago
Zane Holtz
Cec Linder
Chad Connell
Chad Donella
Chad Faust
Chad Willett
Charles Dennis
Charlie David
Charlie Gillespie
Dmitry Chepovetsky
Domenic Di Rosa
Dominic Zamprogna
Don Brown
Don Cherry
Don Francks
Don Harron
Don Lake
Don Mason
Don McKellar
Don S. Williams
Donal Logue
Donald Sutherland
Donald Woods
Donavon Stinson
Donnelly Rhodes
Donnie Keshawarz
Donny Lucas
Donovan Brown
Doris Lussier
Doron Bell
Doug Chapman
Doug McGrath
Douglas Campbell
Douglas Rain
Douglas Smith
Dov Tiefenbach
Drake
Drew Nelson
Drew Seeley
Duane Howard
Duke Redbird
Duncan Fraser
Duncan Regehr
Guy Nadon
Guy Provost
Guy Richer
Guy Thauvette
Jean-François Pichette
Jean-Louis Millette
Jean-Louis Roux
Jean-Luc Bilodeau
Jean-Michel Le Gal
Jean-Pierre Masson
Jean Coutu
Jean Duceppe
Jean Gascon
Jean LeClerc
Jean Pierre Lefebvre
Jed Rees
Jeff Cooper
Jeff Geddis
Jeff Hammond
Jeff Hyslop
Jeff Lumby
Jeff Pustil
Jeff Seymour
Jeff Teravainen
Jeff Wincott
Jefferson Brown
Jeffrey Bowyer-Chapman
Jeremy Akerman
Jeremy Guilbaut
Jeremy Hotz
Josh Epstein
Joshua Close
Joshua Henry
Joshua Jackson
Judah Katz
Julian Bailey
Julian Richings
Julien Poulin
Matt Austin
Matt Craven
Matt Frewer
Matt Hill
Matt Johnson
Matt Watts
Matt Wells
Matt Zimmerman
Matthew Bennett
Matthew Currie Holmes
Matthew Edison
Matthew Ferguson
Matthew Godfrey
Matthew Knight
Matthew MacFadzean
Matthew Perry
Matthew Walker
Maurice Dean Wint
Maurice Godin
Maurice LaMarche
Maurice Podbrey
Mig Macario
Mike Dopud
Mike Lobel
Mike MacDonald
Mike McLeod
Mike Myers
Mike Smith
Mike Ward
Mike Wilmot
Miklos Perlus
Milan Cheylov
Miles Meadows
Neil Crone
Neil Denis
Neil Grayston
Neil Hope
Neil McCallum
Neil Vipond
Nelson Lee
Niall Matter
Nicholas Campbell
Nicholas Lea
Nick Bateman
Nick Johne
Nick Mancuso
Nico Locco
Nicolas Wright
Niels Schneider
Nigel Shawn Williams
Nigel Whitmey
Nils Oliveto
Osric Chau
Reece Thompson
Reilly Dolman
Roy Dupuis
Sam Snyders
Scott Bairstow
Scott Bellis
Scott Hylands
Scott McCord
Scott McNeil
Scott Speedman
Scott Thompson
Scott Yaphe
Sean Devine
Sean Horlor
Sean McCann
Sean Michael Kyer
Sean O'Neill
Sean Roberge
Sean Rogerson
Sebastian Bach
Sebastian Pigott
Sebastian Spence
Sebastien Roberts
Shaun Benson
Shaun Johnston
Shaun Majumder
Shaun Sipos
Shawn Ashmore
Shawn Doyle
Shawn Hitchins
Shawn Roberts
Shawn Singleton
Shawn Thompson
Sheldon Allman
Sheldon Bergstrom
Sherard Parker
Théodore Pellerin
Tim Progosh
Tim Rozon
Tim Sims
Travis Milne
Travis Turner
Trent McClellan
Trevor Blumas
Trevor Smith
Trevor White
Demetrius Joyette
Demore Barnes
Denis Akiyama
Denis Bernard
Denis Forest
Denis Lapalme
Denis Simpson
Derek Diorio
Derek McGrath
G. Stanley Jones
Gabe Khouth
Gabriel Arcand
Gabriel Gascon
Gabriel Hogan
Gabriel Maillé
Gage Munroe
Garen Boyajian
Garrick Hagon
Garry Chalk
Garry Robbins
Garvin Cross
Garwin Sanford
Gary Basaraba
Gary Farmer
Gary Files
Gary Hudson
Gary Reineke
Godfrey Gao
Kent Derricott
Keon Alexander
Keram Malicki-Sánchez
Kerry James
Kerry Shale
Kett Turton
Kevin Durand
Kevin Frank
Kevin Hanchard
Kevin Jubinville
Kevin Loring
Kevin Mambo
Kevin McDonald
Kevin McNulty
Kevin Zegers
Kevyn Major Howard
Kiefer Sutherland
Kim Coates
King Bach
Kris Holden-Ried
Kris Lemche
Kris Pope
Kristian Ayre
Kristian Bruun
Kristopher Turner
Kwasi Songui
Kyle Card
Kyle Harrison Breitkopf
Kyle Labine
Kyle Rideout
Kyle Schmid
Kyle Switzer
L. Dean Ifill
Les Lye
Leslie Nielsen
Levi Meaden
Lex Gigeroff
Maury Chaykin
Mavor Moore
Max Morrow
Max Topplin
Max Walker
Max Williams
Maxim Gaudette
Maxwell McCabe-Lokos
Mazin Elsadig
Michael Adamthwaite
Michael Ball
Michael Bean
Michael Beattie
Michael Bernardo
Michael Boisvert
Michael Bublé
Michael Burgess
Michael Cera
Michael Cram
Michael D. Cohen
Michael Daingerfield
Michael Duhig
Michael Greyeyes
Michael Healey
Michael Hogan
Michael Ironside
Michael J. Fox
Michael Jackson
Michael Kopsa
Michael Magee
Michael Mahonen
Michael Mando
Michael McManus
Michael Ontkean
Myles Erlick
Myles Ferguson
Natar Ungalaaq
Nathan Fielder
Nathan Fillion
Nathan MacKinnon
Nathan Mitchell
Nathan Stephenson
Nathaniel Arcand
Walter Borden
Walter Massey
Walter Pidgeon
Cody Kearsley
Colin Ferguson
Colin Fox
Colin Keith Gray
Colin Mochrie
Colin O'Meara
Colin Stinton
Colm Feore
