Andrew Burnap
Andy On
Ben Powers
Billy Costello
Brendan O'Malley
Bruce MacVittie
CJ Adams
Carson Grant
George M. Cohan
George Macready
Logan Marshall-Green
Richard H. Blake
Richard Jenkins
Theo Martins
Vincent Pagano
Zachary James
Charlie Day
Matt McCarthy
Mike Cerrone
Nelson Eddy
Nicholas Colasanto
Nicholas O'Neill
Nick Principe
Otis Young
Van Johnson
Walter McGinn
Eric Lutes
Mark Famiglietti
Mark Morettini
Seth MacFarlane
Christopher Murney
Christopher Stanley
Dave Shalansky
David Beecroft
David Shae
Jack Duffy
Jason Marsden
Sam Daly
Manny Pérez
Will Mackenzie
James Woods
Thomas H. Ince
Harry Anderson
J. T. Walsh
Paul Michael
Peter Frechette
Peter Gerety
Robert Capron
Ron McLarty
