Andrés Rillón
Ariel Levy
Augusto Schuster
Bastián Bodenhöfer
Benjamín Vicuña
Héctor Noguera
Patricio Valladares
Willy Semler
José Soza
Juan José Gurruchaga
Julio Jung
Nicolás López
Sebastian Mancilla Olivares
Tiago Correa
Felipe Braun
Felipe Camiroaga
Gonzalo Olave
Gonzalo Robles
Gonzalo Valenzuela
Mauricio Pesutic
Francisco Melo
Francisco Pérez-Bannen
Francisco Reyes Morandé
Stefan Kramer
Tomás Vidiella
Álvaro Escobar
Álvaro Espinoza
Álvaro Gómez
Álvaro Morales
Álvaro Rudolphy
César Caillet
Daniel Alcaíno
Daniel Muñoz
Eduardo Alcaraz
Eduardo Barril
Cristián Campos
Cristián de la Fuente
Luciano Cruz-Coke
Luis Gnecco
Manuel Aránguiz
Martín Cárcamo
Pablo Schwarz
Sergio Hernández
Jorge López
Jorge Zabaleta
Marcelo Alonso
Néstor Cantillana
Renato Munster
