Adam Demos
Alan Marshal
Alex O'Loughlin
Anthony LaPaglia
Antony Hamilton
John Noble
Leonardo Nam
Bren Foster
Brenton Thwaites
Brett Tucker
C. Montague Shaw
Cameron Daddo
George Beranger
George Lazenby
Murray Bartlett
Sullivan Stapleton
Vince Martin
Dominic Purcell
Guy Pearce
Ingo Rademacher
Josh Lawson
Julian McMahon
Nicholas Bishop
Costas Mandylor
Luke Cook
Simon Baker
Sydney Deane
Chris Hemsworth
Claude Flemming
Clyde Cook
Cyril Ritchard
Dan Feuerriegel
Danny Roberts
David Dunbar
Edward Ashley-Cooper
Flea
Hugh Jackman
Jai Courtney
Jesse Spencer
Sam Clark
Jonathan LaPaglia
Rod Taylor
Ryan Kwanten
Heath Ledger
Paul Hogan
Peter Finch
Liam Hemsworth
Marc McDermott
O. P. Heggie
Reshad Strik
Robert Taylor
Xavier Samuel
Rhys Wakefield
Thaao Penghlis
