Alan Browning
Alex Hall
Alison Wright
Alun Armstrong
Andrew Dunn
Andrew Hayden-Smith
John Alderson
John Woodvine
Jon Paul Phillips
Berwick Kaler
Bobby Thompson
George Irving
George Mallaby
Ian Cullen
Richard Hurndall
Richard Short
Victoria Hawkins
William Russell
Jean Southern
Maurice Roëves
Rowan Atkinson
Sammy Johnson
Denise Welch
Kieran Bew
Craig Conway
Eli Woods
Elizabeth Estensen
Eric Idle
Frank Cochrane
Frank Jarvis
Frank Middlemass
Gibson Gowland
Gina McKee
Gladys Boot
Glenn Hugill
Gordon Peters
Lindsay Kemp
Mark Gatiss
Melanie Hill
Simon Farnaby
Stephen Hancock
Stephen Tompkinson
Charlotte Riley
Christian Rodska
Christopher Hancock
Dale Meeks
Daniel Casey
Daniel Pearson
Darren Morfitt
Edward Wilson
Flora Robson
Jack Douglas
James Baxter
James Bolam
James Gaddas
Jeremy Swift
Jimmy James
Jimmy Nail
Mary Lawson
Mason Kayne
Will Hay
Jamie Bell
Jan Graveson
Katy Cavanagh
Roger Avon
Ruth Gemmell
Ivy Close
Peter Sandys-Clarke
Philip Middlemiss
Wayne Sleep
Wee Georgie Wood
Marcus Bentley
Ron Cook
Ross Adams
Wendy Craig
