Adem Čejvan
Adnan Hasković
Almir Čehajić
Boro Stjepanović
Branko Đurić
Miraj Grbić
Mirsad Tuka
Moamer Kasumović
Saša Petrović
Zaim Muzaferija
Zenit Đozić
Josip Pejaković
Milan Pavlović
Emir Hadžihafizbegović
Ermin Bravo
Goran Kostić
Igor Skvarica
Dado Džihan
Davor Janjić
Jasmin Geljo
Senad Bašić
Nazif Mujić
Žan Marolt
Izudin Bajrović
