Abel Gance
Raymond Rognoni
Raymond Souplex
Cristian Solimeno
Cyprien Iov
La Grange
Lucien Blondeau
Lucien Coëdel
Lucien Guitry
Lucien Nat
Lugné-Poe
Serge Gainsbourg
Serge Hazanavicius
Serge Marquand
Serge Sauvion
Grégory Fitoussi
Guillaume Depardieu
Guillaume de Tonquédec
Howard Vernon
Hubert Deschamps
James Mason
Jonathan Lambert
Joseph Caillot
Joseph Malerba
Moustache
Roger Carel
Roger Pierre
Roger Til
Roger Tréville
Roger Vadim
Roland Alexandre
Roland Bertin
Rolla Norman
Romain Duris
Roman Polanski
Swann Arlaud
Thomas Langmann
Thomy Bourdelle
Urbain Cancelier
Édouard Baer
Édouard Niermans
Émile-Bernard Donatien
Șerban Cantacuzino
Harry-Max
Hervé Villechaize
Ivan Magrin-Chagnolleau
Patrick Poivey
Paul Azaïs
Paul Bonifas
Paul Burani
Paul Capellani
Paul Guidé
Paul Pauley
Philippe Bas
Philippe Forquet
Philippe Haïm
Philippe Hériat
Philippe Khorsand
Philippe Leroy
Philippe Nahon
Marc Ruchmann
Marcel André
Marcel Barnault
Marcel Dalio
Marcel Delaître
Marcel Duhamel
Marcel Herrand
Marcel Lévesque
Marcel Mouloudji
Marcel Vibert
Noël-Noël
Paco Boublard
Renaud
René-Jean Chauffard
René Berthier
René Blancard
René Clair
René Cresté
René Dary
René Havard
Rivers Cadet
Robert-Guillaume Casadesus
Robert-Hugues Lambert
Robert Berri
Robert Burnier
Robert Clary
Robert Hossein
Robert Lamoureux
Robert Le Vigan
Robert Lynen
Robert Manuel
Robert Ozanne
Robert Pizani
Robert Seller
Xavier Gélin
Noom Diawara
Popeck
Richard Anconina
Richard Berry
Sagamore Stévenin
