Adam Pålsson
Alexander Skarsgård
Allan Bohlin
Allan Corduner
Allan Svensson
Anastasios Soulis
Anders Ekborg
Anders Henrikson
Anders Nyström
Anders de Wahl
Andreas Wilson
Anton Körberg
Arne Ragneborn
Arthur Fischer
Artur Cederborgh
Axel Düberg
Axel Hultman
Axel Ringvall
Fredrik Ultvedt
Johan H:son Kjellgren
Johan Hallström
Johan Rabaeus
Johan Schildt
Johannes Brost
John Ekman
John W. Brunius
Jonas Bergström
Leif Ahrle
Leif Andrée
Leif Liljeroth
Leo Hallerstam
Bengt Blomgren
Bengt Djurberg
Bengt Ekerot
Bengt Eklund
Benny Fredriksson
Bill Skarsgård
Birger Lensander
Björn Andrésen
Björn Gustafson
Brasse Brännström
Börje Ahlstedt
Börje Nyberg
Carl-Gustaf Lindstedt
Carl Carlswärd
Carl Hagman
Carl Lindquist
George Fant
Håkan Hallin
Magnus Betnér
Magnus Kesster
Sture Lagerwall
Oliver Ingrosso
Oliver Loftéen
Olle Hilding
Olof Widgren
Olof Winnerstrand
Olof Ås
Peder Falk
Pelle Seth
Rikard Wolff
Stig Engström
Tord Bernheim
Tord Peterson
Tore Svennberg
Victor von Schirach
Vilhelm Bryde
Dolph Lundgren
Göran Gentele
Göran Thorell
Gösta Ekman
Gösta Ekman
Gösta Grip
Ingvar Hirdwall
Jens Hultén
Mathias Taube
Mikael Persbrandt
Nils Asther
Nils Eklund
Nils Hallberg
Nils Lundell
Nils Ohlin
Nils Olaf Chrisander
Nils Wahlbom
Sebastian Stakset
Felix Sandman
Kåre Hedebrant
Michael Nyqvist
Måns Nathanaelson
Valter Skarsgård
Emil Forselius
Eric Abrahamsson
Erik Forslund
Erland Josephson
Frank Sundström
Gideon Wahlberg
Justus Hagman
Jörgen Lantz
Karl Gerhard
Malte Gårdinger
Micke Dubois
Sigge Fürst
Tomas Bolme
Tommy Johnson
Christer Boustedt
Christer Flodin
David Dencik
David Erikson
David Hoflin
Eddie Axberg
Edvard Swartz
Edvin Ryding
Edward Baker-Duly
Einar Hanson
Folke Hjort
Jakob Setterberg
Jesper Tydén
Joel Kinnaman
Rafael Edholm
Ragnar Falck
Lars Amble
Lars Edström
Lars Green
Greg Poehler
Gunnar Björnstrand
Gunnar Höglund
Gunnar Nielsen
Gunnar Sjöberg
Gustaf Hammarsten
Gustaf Skarsgård
Hampe Faustman
Jan-Christian Söderholm
Jan-Olof Strandberg
Jan Erik Lindqvist
Jan Molander
Janne Carlsson
Rolf Ludwig
Rolf Skoglund
Rolf Sohlman
Rolf von Nauckhoff
Rune Carlsten
Sven-Axel Carlsson
Sven-Bertil Taube
Sven-Eric Gamble
Sven Lindberg
Ted Åström
Thomas Hedengran
Thomas Hellberg
Åke Claesson
Åke Grönberg
Hans Strååt
Hans V. Engström
Harry Roeck-Hansen
Hasse Ekman
Helge Hagerman
Ivan Mathias Petersson
Ivar Kåge
Per Fritzell
Per Gerhard
Per Myrberg
Per Oscarsson
Per Sjöstrand
Peter Haber
Peter Magnusson
Peter Perski
Peter Schildt
Peter Viitanen
Philip Zandén
Marcus Schenkenberg
Pontus Gustafsson
Said Legue
Ulf Brunnberg
Ulf Eklund
Ulf Hasseltorp
Ulf Johanson
Ulf Palme
