Adhir Kalyan
Alex Ferns
Allen Booi
Altus Theart
Anthony Oseyemi
Arno Greeff
Arnold Vosloo
Atandwa Kani
Aubrey Poolo
Henry Cele
Hlomla Dandala
John Kani
John Matshikiza
Leonard Sachs
Basil Rathbone
Bobby van Jaarsveld
Brandon Auret
Brett Goldin
Campbell Cotts
Carl Beukes
Ian Duncan
Ian Roberts
Menzi Ngubane
Mojak Lehoko
Stratford Johns
Zamani Mbatha
Cecil Kellaway
Donald Gray
Donald Randolph
Maurice Paige
Neil Sandilands
Nick Boraine
Nigel Harris
Regardt van den Bergh
Sean Cameron Michael
Shannon Kook
Sharlto Copley
Trevor Noah
Deon Lotz
Deon Stewardson
Fana Mokoena
Maxwell Mlilo
Mduduzi Mabaso
Mzwandile Ngubeni
Waseem Shaikh
Emmanuel Castis
Frank Opperman
Gopala Davies
Ido Drent
Lionel Ngakane
Michael Turner
Shadrack Ngema
Stelio Savante
Yonda Thomas
Cliff Simon
Clint Brink
Clive Scott
Daniel Bonjour
Danny Keogh
David Bailie
David Bateson
David Dennis
David James
David Vlok
De-Wet Nagel
Dean Fourie
Eddie Eckstein
Edward Baker-Duly
Jack Klaff
Jarrid Geduld
Jason Cope
Jesse Suntele
Joe Mafela
Ray Ntlokwana
Kabomo Vilakazi
Langley Kirkwood
Loyiso Gola
P. J. Prinsloo
Paballo Koza
Seputla Sebogodi
Hamilton Dhlamini
Jamie Bartlett
Katleho Ramaphakela
Lizwi Vilakazi
Mpho Osei Tutu
Mthunzi Ntoyi
Roland Mqwebu
Hans Meyer
Ivan Botha
Izak Davel
Patrick Shai
Paul Slabolepszy
Peter Cartwright
Peter Krummeck
Randall de Jager
Wayne Van Rooyen
Lieb Bester
Nyaniso Dzedze
Pallance Dladla
Ron Smerczak
Thabang Molaba
Thapelo Mokoena
Tshepo Ngwane
Tullio Moneta
Vusi Kunene
Vuyo Dabula
Wensley Pithey
