Augustine Phillips
Henry Condell
John Heminges
John Lowin
John Sinklo
George Bryan
Richard Tarlton
William Shakespeare
William Sly
Samuel Gilburne
Gabriel Spenser
Christopher Beeston
Edward Alleyn
James Burbage
William Cornysh
William Kempe
William Knell
Thomas Heywood
Thomas Twyne
Robert Armin
Robert Browne
Robert Browne
Robert Wilson
Richard Burbage
