Aaron Altaras
Ace Mahbaz
Albrecht Schuch
Alexander Beyer
Alexander Dreymon
Alexander Radszun
Andreas Bethmann
Andreas Pietschmann
Andreas von der Meden
András Fricsay
André Hennicke
Armin Mueller-Stahl
Armin Rohde
Arne Elsholtz
Arón Piper
Atze Schröder
August Diehl
August Wittgenstein
Axel Milberg
Axel Prahl
Axel Stein
Franz Rogowski
Frederick Lau
Friedel von Wangenheim
Friedrich Schoenfelder
Fritz Wepper
Hendrik von Bültzingslöwen
Henning Baum
Henry Hübchen
Henry van Lyck
Jonas Nay
Lenn Kudrjawizki
Leonard Lansink
Bastian Semm
Benno Fürmann
Bernd Herzsprung
Bernd Michael Lade
Bernd Tauber
Bernhard Hoëcker
Bert Tischendorf
Bjarne Mädel
Björn Freiberg
Burghart Klaußner
Burkhard Driest
Gedeon Burkhard
Gennadi Vengerov
Lambert Hamel
Mišel Matičević
Patrick Bach
Mola Adebisi
Oliver Korittke
Olli Dittrich
Peer Augustinski
Richard Sammel
Richy Müller
Rüdiger Vogler
Sascha Hehn
Sönke Möhring
Torben Liebrecht
Udo Kier
Udo Samel
Dominic Raacke
Dominique Horwitz
Götz George
Götz Otto
Günter Lamprecht
Günter Pfitzmann
Günter Schubert
Günther Kaufmann
Günther Schramm
Ingo Naujoks
Jeff Wilbusch
Jens Hartwig
Jens Harzer
Mathias Herrmann
Mathieu Carrière
Mathis Landwehr
Mats Köhlert
Matthias Brandt
Matthias Brenner
Matthias Habich
Matthias Schweighöfer
Matthias von Stegmann
Nils Doergelo
Ottfried Fischer
Otto Sander
Rufus Beck
Samuel Finzi
Sebastian Koch
Sebastian Schipper
Sebastian Urzendowsky
Thure Riefenstein
Til Schweiger
Till Lindemann
Tilo Prückner
Traugott Buhre
Detlef Bothe
Detlev Buck
Max Tidof
Maxim Mehmet
Maximilian Brückner
Maximilian Mauff
Michael "Bully" Herbig
Michael Ande
Michael Degen
Michael Hinz
Michael Mendl
Walter Giller
Walter Kreye
Walter Renneisen
Walter Sittler
Wotan Wilke Möhring
Elmar Wepper
Erden Alkan
Erdoğan Atalay
Eric Braeden
Francis Fulton-Smith
Frank Giering
Franz Jarnach
Gerd Baltus
Gerhard Olschewski
Gert Voss
Gottfried John
Ilja Richter
Ilja Rosendahl
Justus von Dohnányi
Jörg Hube
Jörg Pose
Jürgen Goslar
Jürgen Hentsch
Jürgen Holtz
Jürgen Prochnow
Jürgen Vogel
Karl-Heinz Vosgerau
Karl-Heinz von Hassel
Karl-Heinz von Liebezeit
Kostja Ullmann
Lutz van der Horst
Mario Adorf
Mario Ramos
Mark Keller
Mark Waschke
Markus Boysen
Martin Semmelrogge
Martin Wuttke
Mehmet Kurtuluş
Pierre Franckh
Siegfried Rauch
Sinan Akkuş
Stefan Lampadius
Sylvester Groth
Tom Schilling
Tom Wlaschiha
Tonio Arango
Yasin Islek
Christian Berkel
Christian Harting
Christian Quadflieg
Christian Redl
Christian Tramitz
Christian Ulmen
Christian Wolff
Christoph Bantzer
Christoph M. Ohrt
Christoph Maria Herbst
Christoph Waltz
Claus Theo Gärtner
Claus Wilcke
Dan van Husen
Daniel Axt
Daniel Brühl
David Kross
David Schütter
Devid Striesow
Dieter Hallervorden
Dieter Laser
Dieter Mann
Dieter Pfaff
Dietmar Bär
Dietrich Hollinderbäumer
Dietrich Mattausch
Dirk Bach
Dirk Galuba
Edgar Selge
Ernst Hannawald
Ernst Jacobi
Erol Sander
Ezard Haußmann
Fabian Busch
Fabian Hinrichs
Fahri Yardım
Florian David Fitz
Florian Lukas
Florian Munteanu
Hugo Egon Balder
Jerry Hoffmann
Joachim Fuchsberger
Joachim Król
Jochen Busse
Jochen Horst
Jochen Nickel
Ken Duken
Moritz Bleibtreu
Kai Wiesinger
Lars Eidinger
Lars Rudolph
Lucas Reiber
Ludger Pistor
Ludwig Blochberger
Manfred Möck
Manfred Zapatka
Sky du Mont
Tobias Hoesl
Wilfried Klaus
Winfried Glatzeder
Wolf Kahler
Wolfgang Müller
Wolfgang Stumph
Wolfgang Völz
Wolfgang Winkler
Gunnar Möller
Hannes Jaenicke
Hanns Zischler
Hans-Joachim Heist
Hans-Michael Rehberg
Horst Buchholz
Horst Janson
Horst Krause
Horst Naumann
Horst Sachtleben
Jan Fedder
Jan Josef Liefers
Jan Niklas
Jannik Schümann
Jannis Niewöhner
Josef Bierbichler
Klaus Grünberg
Klaus Herm
Klaus Höhne
Klaus J. Behrendt
Klaus Löwitsch
Klausjürgen Wussow
Navíd Akhavan
Rolf Hoppe
Rolf Kanies
Rolf Schimpf
Rolf Zacher
Sven Martinek
Tekin Kurtuluş
Thomas Fritsch
Thomas Gumpert
Thomas Heinze
Thomas Kretschmann
Thomas Ohrner
Thomas Thieme
Urs Rechn
Uwe Bohm
Uwe Friedrichsen
Uwe Ochsenknecht
Vadim Glowna
Hans Clarin
Hans Korte
Hans Peter Hallwachs
Hans Peter Korff
Hans Werner Meyer
Hansi Kraus
Hardy Krüger
Hark Bohm
Harry Baer
Hartmut Becker
Heiner Lauterbach
Heino Ferch
Heinrich Schmieder
Heinz Bennent
Heinz Hoenig
Heinz Reincke
Herbert Feuerstein
Hermann Lause
Hilmar Thate
Peter Berling
Peter Ehrlich
Peter Fricke
Peter Kuiper
Peter Kurth
Peter Lohmeyer
Peter Sattmann
Peter Sodann
Rainer Basedow
Rainer Bock
Rainer Hunold
Ralf Moeller
Ralf Richter
Ralf Wolter
Marc Hosemann
Marc Rissmann
Marco Hofschneider
Reiner Schöne
René Bazinet
Robert Atzorn
Norbert Kuchinke
Ronald Zehrfeld
Ulrich Matschoss
Ulrich Matthes
Ulrich Mühe
Ulrich Noethen
Ulrich Tukur
Volker Lechtenbrink
Volkert Kraeft
