"Weird Al" Yankovic
Bill Nimmo
Bill Oberst Jr.
Bill Paxton
Bill Ratner
Bill Rogers
Bill Roper
Bill Scott
Bill Sindelar
Bill Smitrovich
Bill Thompson
Bill Timoney
Bill Wise
Bill Woodson
Billy Barty
Billy Bletcher
Billy Bob Thornton
Billy Brown
Billy Costello
Billy Crystal
Billy De Wolfe
Billy Dee Williams
Billy Eichner
Billy Gardell
Billy Gilbert
Billy Kametz
Billy Porter
Billy Unger
Billy West
Billy Zane
Blair Underwood
Blake Anderson
Blake Clark
Blake Jenner
Blake Shepard
Blayne Weaver
Bo Hopkins
Bob Amsberry
Bob Arbogast
Bob Bergen
Bob Buchholz
Bob Einstein
Bob Elliott
Bob Glouberman
Bob Harris
Bob Hastings
Bob Holt
Bob Johnson
Bob Joles
Bob LeMond
Bob McFadden
Bob McGrath
Bob Newhart
Bob Odenkirk
Bob Ogle
Bob Papenbrook
Bob Peterson
Bob Readick
Bob Saget
Bob Sherman
Bob Stephenson
Bob Uecker
Bob West
Bobby Cannavale
Bobby Driscoll
Bobby Edner
Bobby Lee
Bobby Moynihan
Bobcat Goldthwait
Bokeem Woodbine
Boris Kodjoe
Bowen Yang
Boyd Gaines
Brad Bird
Brad Dourif
Brad Garrett
Brad Hawkins
Brad Neely
Brad Pitt
Braden Hunt
Bradley Bolke
Bradley Cooper
Bradley Pierce
Bradley Whitford
Brady Bluhm
Brandon Adams
Brandon Baker
Brandon Keener
Brandon McInnis
Brandon Mychal Smith
Brandon Potter
Brandon Rogers
Brandon Scott
Brandon Soo Hoo
Brandon T. Jackson
Breckin Meyer
Breehn Burns
Brendan Dooling
Brendan Fraser
Brendan Hunt
Brendan O'Brien
Brendon Ryan Barrett
Brendon Small
Brennan Howard
Brent Pendergrass
Brent Spiner
Bret Iwan
Bret Morrison
Brett Dalton
Brett Gelman
Brett Gray
Brett Hull
Brett Tabisel
Brett Weaver
Brian Beacock
Brian Bloom
Brian Cummings
Brian Donovan
Brian Doyle-Murray
Brian Dunkleman
Brian Fee
Brian Forster
Brian Hamilton
Brian Huskey
Brian Jepson
Brian Posehn
Brian Scolaro
Brian Sommer
Brian Stack
Brian Stepanek
Brian Stokes Mitchell
Brian T. Delaney
Brian Tarantina
Brian Tee
Brian Tochi
Brian Tyree Henry
Brian Whitman
Brian d'Arcy James
Brice Armstrong
Brion James
Britain Dalton
Brock Peters
Bronson Pinchot
Bronzell Miller
Brooks Moore
Brother Blue
Bruce Adler
Bruce Boxleitner
Bruce Campbell
Bruce Davison
Bruce Dow
Bruce Lanoil
Bruce MacVittie
Bruce McGill
Bruce Reitherman
Bruce Thomas
Bruce Vilanch
Bruce Willis
Bruno Campos
Bruno Kirby
Bryan Batt
Bryan Callen
Bryan Cranston
Bryan Dechart
Bryan Johnson
Bryan Massey
Bryce Johnson
Bryce Papenbrook
Bryce Pinkham
Bryson Baugus
Bryson Foster
Bud Abbott
Bud Collyer
Bud Cort
Bud Luckey
Buddy Hackett
Buddy Lewis
Bumper Robinson
Burgess Meredith
Burke Byrnes
Burl Ives
Burnie Burns
Burt Reynolds
Burt Ward
Busta Rhymes
Buster Jones
Butch Hartman
Byrne Offutt
Byron Howard
C. H. Greenblatt
C. Lindsay Workman
C. Martin Croker
C. S. Lee
C. Thomas Howell
Caleb McLaughlin
Caleel Harris
Calvin Klein
Cam Brainard
Cam Clarke
Cameron Boyce
Cameron Monaghan
Cameron Van Hoy
Campbell Cooley
Candy Candido
Carey Means
Carey Wilson
Carl Lumbly
Carl Macek
Carl Reiner
Carl Steven
Carl Weathers
Carl Weintraub
Carlos Alazraqui
Carlos Ferro
Carlos Navarro
Carlos Pesina
Carlos Santos
Carlos Valdes
Carman Maxwell
Cary-Hiroyuki Tagawa
Casey Affleck
Casey Ellison
Casey Kasem
Gaten Matarazzo
Gavin Lewis
Gedde Watanabe
Gene Gabriel
Gene Galusha
Gene Hackman
Gene Simmons
Geno Segers
Geoff Ramsey
Geoffrey Arend
Geoffrey Blake
Geoffrey Holder
George A. Romero
George C. Scott
George Carlin
George Coe
George DelHoyo
George DiCenzo
George Dzundza
George Foreman
George Furth
George Gaynes
George Givot
George Gobel
George Hearn
George Johnson
George Lopez
George Lowe
George Manley
George Newbern
George O'Hanlon
George S. Irving
George Segal
George Takei
Grant George
Grant Goodeve
Grant Gustin
Grant Palmer
