George Walsh
Graham Beckel
Graham Brown
Grant Richards
Grant Williams
Hy Anzell
Héctor Elizondo
Ian Gomez
Ian Kahn
Ian Keith
Ian Roberts
Lance Henriksen
Loren Bouchard
Lorenzo Lamas
Lorenzo Music
Lou Cutell
Lou Ferrigno
Lou Fleischer
Lou Hirsch
Lou Jacobi
Louis Calhern
Louis Diaz
Louis Giambalvo
Louis Gossett Jr.
Louis Guss
Louis Lombardi
Louis Ozawa Changchien
Louis Sorin
Louis Vanaria
Louis Wolheim
Mishu Hilmy
Mitchell Laurance
Murray Alper
Murray Gershenz
Parris Mosteller
Parry Shen
Pat Flaherty
Pat Harrington Jr.
Pat Hartigan
Patrick Breen
Stan Ivar
Stan Kirsch
Stan Lee
Stanley Adams
Stanley Beck
Stanley Brock
Stanley Prager
Stanley Ralph Ross
Stanley Tucci
Stark Sands
Stuart Charno
Stubby Kaye
Sullivan Walker
Taimak
Tammany Young
Taylor Mali
Menasha Skulnik
Merlin Santana
Moe Howard
Moisés Arias
Olamide Faison
Olan Montgomery
Payman Maadi
Pedro de Cordoba
Pell Trenton
Quincy
Quinton Aaron
Richard Jordan
Richard Karron
Richard Kline
Richard Kollmar
Richard LaGravenese
Richard Lewis
Richard Liberty
Richard Lynch
Richard Masur
Richard Mulligan
Richard Ney
Richard Parnell Habersham
Richard Pelham
Richard Portnow
Richard Reicheg
Richard Rosson
Richard Rust
Richard S. Castellano
Richard Schiff
Richard Switzer
Richard Thomas
Richard Tucker
Richard Venture
Richard X. Slattery
Rick Aviles
Rick Hoffman
Rick Jason
Rick Overton
Ricky Jay
Ricky Schroder
Shyheim
Sonny Bupp
Sonny Marinelli
Soupy Sales
Steve Rossi
Steve Ryan
Steve Schirripa
Steven Keats
Steven Martini
Steven Strait
Steven Weber
Sticky Fingaz
Sérgio Hondjakoff
T. K. Carter
Tab Hunter
Theo Rossi
Theodore Wilson
Tony Hart
Tony Lip
Tony Lo Bianco
Tony Orlando
Tony Roberts
Tony Rock
Tony Sirico
Tony Tarantino
Tosin Cole
Victor Argo
Victor Colicchio
Victor Ma
Victor Mohica
Victor Rasuk
Victor Williams
Viggo Mortensen
Vin Diesel
Vince Edwards
Vincent D'Onofrio
Vincent Laresca
Vincent Marzello
Vincent Piazza
Vincent Schiavelli
Vincent Serrano
Vincent Spano
Vincent Van Patten
Ving Rhames
Vinny Vella
William Pierson
William R. Dunn
William Redfield
William Roerick
William Russell
William Tannen
William Thourlby
William Wheatley
