Mehdi El Glaoui
Mehdi Nebbou
Michael Vartan
Michaël Abiteboul
Michel Auclair
Michel Aumont
Michel Barbey
Michel Beaune
Michel Blanc
Michel Boujenah
Michel Constantin
Michel Creton
Michel Etcheverry
Michel Fau
Michel Galabru
Michel Modo
Michel Muller
Michel Piccoli
Michel Sardou
Michel Subor
Michel Valette
Pierre-Benoist Varoclier
Pierre-François Martin-Laval
Pierre-Loup Rajot
Pierre Bellemare
Pierre Boulanger
Pierre Braunberger
Pierre Brice
Pierre Cassignard
Pierre Clémenti
Pierre Deladonchamps
Pierre Doris
Pierre Gérald
Pierre Maguelon
Pierre Malet
Pierre Meyrand
Pierre Michael
Pierre Mondy
Pierre Niney
Pierre Palmade
Pierre Repp
Pierre Richard
Pierre Rochefort
Pierre Tchernia
Pierre Tornade
Pierre Vaneck
Pierre Vernier
Pierre Zimmer
Pio Marmaï
Simon Abkarian
Simon de La Brosse
Stephen Manas
Tom Hudson
Tomer Sisley
Yann Trégouët
Yasmine Belmadi
Zinedine Soualem
Chems Dahmani
Christian Barbier
Christian Clavier
Christian Duvaleix
Christian Manon
Christian Marin
Christian Vadim
Christopher Lambert
Christopher Thompson
Claude Bertrand
Claude Brasseur
Claude Faraldo
Claude Nicot
Claude Piéplu
Claude Rich
Claude Titre
Clovis Cornillac
Clément Harari
Clément Michu
Clément Sibony
Cyril Hanouna
Cyrille Thouvenin
César Domboy
Côme Levin
Dali Benssalah
Damien Lauretta
Daniel Auteuil
Daniel Ceccaldi
Daniel Duval
Daniel Prévost
Dany Boon
Darry Cowl
David Charvet
Davy Sardou
Dick Rivers
Didier Bezace
Didier Flamand
Didier Haudepin
Eddy Mitchell
Edgar Givry
Edward Akrout
Ernst Umhauer
Eugene Deckers
Fabien Yoon
Fabrice Luchini
Filip Nikolic
Florent Pagny
Hubert Saint-Macary
Hugo Becker
Hugues Quester
Jack Ary
Jackie Berroyer
Jacky Ido
Jacky Nercessian
Jacques Balutin
Jacques Bergerac
Jacques Bonnaffé
Jacques Boudet
Jacques Dacqmine
Jacques Debary
Jacques Duby
Jacques Dumesnil
Jacques Fabbri
Jacques Fornier
Jacques Frantz
Jacques Herlin
Jacques Jouanneau
Jacques Legras
Jacques Marin
Jacques Mathou
Jacques Poitrenaud
Jacques Rosny
Jacques Santi
Jacques Seiler
Jacques Sernas
Jacques Spiesser
Jacques Tati
Jacques Toja
Jacques Villeret
Jacques Weber
Jalil Lespert
Jamel Debbouze
Jean-Baptiste Maunier
Jean-Baptiste Puech
Jean-Christophe Bouvet
Jean-Claude Bouillaud
Jean-Claude Bouillon
Jean-Claude Caron
Jean-Claude Carrière
Jocelyn Quivrin
Raoul Billerey
Raphael Luce
Raphaël Haroche
Raphaël Lenglet
Raphaël Personnaz
Rayane Bensetti
Raymond Gérôme
Raymond Meunier
Raymond Souplex
Salim Kechiouche
Kad Merad
Lannick Gautry
Loïc Corbery
Luc Merenda
Luc Thuillier
Lucien Jean-Baptiste
Lucien Raimbourg
Luis Rego
Manu Payet
Manuel Blanc
Manuel Bonnet
Serge Marquand
Serge Merlin
Serge Riaboukine
Serge Rousseau
Serge Sauvion
Slimane Dazi
Smaïn
Titoff
William Abadie
Grégoire Leprince-Ringuet
Grégori Derangère
Grégory Fitoussi
Grégory Gadebois
Grégory Monro
Guillaume Canet
Guillaume Delorme
Guillaume de Tonquédec
Gustave Kervern
Guy Decomble
Guy Grosso
Hubert Deschamps
Hubert Koundé
Hubert Noël
Jonathan Lambert
Joseph Malerba
Mouss Diouf
Moussa Maaskri
Roger Carel
Roger Dutoit
Roger Hanin
Roger Pierre
Roger Til
Roland Blanche
Roland Giraud
Swann Arlaud
Thomas Chabrol
Urbain Cancelier
Édouard Baer
Édouard Collin
Édouard Montoute
Élie Semoun
Émil Abossolo-Mbo
Éric Judor
Éric Prat
Étienne Chicot
Étienne Draber
Harold Kay
Hervé Villechaize
Hippolyte Girardot
JB Blanc
Patrick Sébastien
Patrick d'Assumçao
Paul Bisciglia
Paul Le Person
Paul Préboist
Philippe Bas
Philippe Caubère
Philippe Clay
Philippe Duquesne
Philippe Forquet
Philippe Laudenbach
Philippe Lefebvre
Philippe Lemaire
Philippe Léotard
Philippe Nahon
Philippe Nicaud
Marc Cassot
Marc Chapiteau
Marc Duret
Marc Ruchmann
Marc de Jonge
Marcel Barencey
Marcel Bozonnet
Marcel Bozzuffi
Marcel Dalio
Marcel Pérès
Omar Sy
Paco Boublard
Robert Carricart
Robert Hirsch
Robert Manuel
Robert Party
Robert Plagnol
Robert Rollis
Robin Renucci
Robinson Stévenin
Xavier Deluc
Xavier Gélin
Xavier Lemaître
Xavier Saint-Macary
Noom Diawara
Richard Bohringer
Richard Darbois
Romann Berrux
Roschdy Zem
Sacha Briquet
Sady Rebbot
Sagamore Stévenin
Tewfik Jallab
