Adam Wade
Adolphe Menjou
Adoni Maropis
Anthony Jeselnik
Antonio Marziale
Arthur Hohl
Fred Grossinger
Fred Rogers
Fritz Weaver
Henry Polic II
Irving Pichel
John Davidson
John Hodiak
John Vivyan
Johnny Sins
Johnny Valiant
Jonathan Adams
Bill Cardille
Bill Hinzman
Bill Nunn
Billy Porter
Bingo O'Malley
Bob Trow
Burt Brinckerhoff
Burt Mustin
Buzzy Linhart
Carl Betz
Gene Kelly
Gene Lyons
Lou Scheimer
Patrick Fabian
Taso N. Stavrakis
Richard Rossi
Steve Sandor
Vince Barnett
William Powell
William Tracy
Zachary Quinto
Charles Esten
Charles Grodin
Charles Hutchison
Charles West
Don Beddoe
Don Brockett
Joseph V. Perry
Joshua Elijah Reese
Matthew Noszka
Matthew Stocke
Maurice Costello
Oscar Levant
Regis Cordic
Regis Toomey
Scott Glenn
Sharif Atkins
Dennis Miller
Kermit Murdock
Kevin Delaney
Kevin Peter Hall
Kiel Martin
Michael Keaton
Michael Park
Emil Sitka
Frank Gorshin
Gerome Ragni
Mario Joyner
Mark Deklin
Mel Novak
Shane Black
Steve Byrne
Tom Atkins
Tom Savini
Christian Borle
Daniel London
Darrell Zwerling
David Conrad
David Scott Milton
Dick Powell
Eddie Ifft
Eddie Jones
F. Murray Abraham
Jack Dodson
Jack Mullaney
Jim Martin
Jim Stanek
Joe Flaherty
Joe Manganiello
Joe Namath
Keith Wayne
Kenneth Thomson
Larry Pennell
Manu Narayan
Marty Allen
William Eythe
Wiz Khalifa
Greg Nicotero
Howard M. Mitchell
James Newill
James Widdoes
Russell Streiner
Rusty Cundieff
Smoki Whitfield
Ted Cassidy
Thomas Jay Ryan
Thomas Meighan
Hardie Albright
Harry Todd
Harvey Friedman
Heath Lamberts
Paul McGill
Paul McGrath
Paul Smith
Phillip R. Allen
Ralf Harolde
Marc Blucas
Robert Gordon
Robert J. Steinmiller Jr.
Robert Osterloh
Terry Bradshaw
