Alberto Candeau
Alejandro Urdapilleta
Angel Bonanni
Froilán Varela
Carlos Enríquez
Carlos Mendy
George Hilton
Villanueva Cosse
Domingo Sapelli
Juan Manuel Tenuta
Juan Verdaguer
Mateo Chiarino
Nicolás Furtado
Osvaldo Laport
Walter Reyno
Walter Vidarte
César Troncoso
Daniel Hendler
Tincho Zabala
Gustavo Rojo
Ramón Collazo
Marcelo Buquet
Roberto Fugazot
Santiago Arrieta
Santiago Gómez Cou
