Achille Ridolfi
Arieh Worthalter
Patrick Descamps
Thierry Hancisse
Thierry Salmon
Victor Francen
Charlie Dupont
Jean Le Peltier
Jean Servais
Kurt Vandendriessche
Gilles Remiche
Laurent Micheli
Mehdi Dehbi
Pierre Piérade
Yannick Renier
Claude Laydu
Claude Volter
David Murgia
Eugene Deckers
Fabrice Boutique
Fabrizio Rongione
Thomas Ancora
Philippe Volter
Marc Zinga
Pitcho Womba Konga
Ronald Guttman
