Alexander Pope
Frederick Pilon
Henry Mossop
Isaac Sparks
John Evans
John Henry
John Henry Johnstone
John Kane
John Leigh
John Moody
William O'Brien
Charles Macklin
Dennis Delane
Francis Aickin
Francis Gentleman
Luke Sparks
Spranger Barry
James Aickin
James Field Stanfield
William Hamilton
James Quin
Thomas Doggett
Thomas Sheridan
Robert Owenson
Richard Daly
