A. K. Hangal
Aadesh Bandekar
Aamir Ali
Aamir Khan
Aanaahad
Aarya Babbar
Aasif Mandvi
Abhay Deol
Abhay Shukla
Abhimanyu Dassani
Abhinav Kapoor
Abhiram Bhadkamkar
Abhishek Avasthi
Abhishek Bachchan
Abrar Alvi
Adhyayan Suman
Adinath Kothare
Aditya Bhattacharya
Aditya Modak
Aditya Pancholi
Aditya Raj Kapoor
Aditya Roy Kapur
Aftab Shivdasani
Ahmed Khan
Ajay Chaudhary
Ajay Devgn
Ajay Wadhavkar
Ajit Vachani
Akbar Khan
Akshay Kapoor
Akshaye Khanna
Ali Merchant
Alihassan Turabi
Amar Babaria
Amar Upadhyay
Amin Gazi
Amit Tandon
Amit Varma
Amitabh Bachchan
Amol Palekar
Amole Gupte
Anand Goradia
Anand Tiwari
Anang Desai
Anant Jog
Aniket Vishwasrao
Anil Kapoor
Anjum Rajabali
Ankit Narang
Ankush Arora
Ankush Chaudhari
Annu Kapoor
Anshul Pandey
Anshul Trivedi
Anshuman Vichare
Anuj Sawhney
Anup Upadhyay
Anwar Ali
Arif Zakaria
Arjun Kapoor
Arjun Punj
Arjun Rampal
Arshad Warsi
Arun Nalawade
Arvind Deshpande
Aseem Ali Khan
Ashok Kumar
Ashok Lokhande
Ashok Saraf
Ashok Shinde
Ashutosh Gowariker
Ashutosh Lobo Gajiwala
Ashwin Mushran
Atul Kale
Atul Kapoor
Atul Mongia
Atul Parchure
Avinash Sachdev
Avinash Tiwary
Avinesh Rekhi
Hiten Tejwani
Indraneel Bhattacharya
Ishaan Khatter
Joginder
John Abraham
Leenesh Mattoo
Ayaz Khan
Ayush Mahesh Khedekar
Ayush Tandon
Azharuddin Mohammed Ismail
Bakhtiyaar Irani
Bhagwan Dada
Bharat Chawda
Bharat Jadhav
Bhavya Gandhi
Bhushan Pradhan
Biswajit Chatterjee
Bobby Deol
Boman Irani
Gaurav Nanda
Gautam Gupta
Gautham K. Sharma
Macky Ali
Madhukar Toradmal
Mahaakshay Chakraborty
Mahavir Shah
Mahesh Kothare
Mahesh Manjrekar
Mahesh Thakur
Mahip Marwaha
Mithun Chakraborty
Parzaan Dastur
Puneet Issar
Puru Raaj Kumar
Pushkar Goggiaa
Pushkar Jog
Subbiraj
Suchindra Bali
Sudesh Berry
Sudev Nair
Sudhir
Sudhir Dalvi
Sudhir Joshi
Sujit Kumar
Sumeet Saigal
Sumit Suri
Sundeep Malani
Sunil Dutt
Sunkrish Bala
Sunny Deol
Sunny Gill
Sunny Singh
Sureshbabu Mane
Tanay Chheda
Tariq Khan
Mohit Chadda
Mohnish Bahl
Mohsin Khan
Pawan Kalra
Sarfaraz Khan
Satyajeet Puri
Saumya Daan
Saurav Gurjar
Savi Sidhu
Shiva Rindani
Shivam Patil
Shivam Pradhan
Shravan
Shreyas Talpade
Shrirang Godbole
Sooraj Pancholi
Taaha Shah
Tahir Hussain
Uday Chopra
Vijay Chavan
Vijayendra Kumeria
Viju Khote
Viju Mane
Vikas Bhalla
Vikas Kalantri
Vinay Anand
Vinay Rai
Vindu Dara Singh
Vineet Kumar
Vinit Kakar
Vinod Khanna
Vinod Kulkarni
Vinod Nagpal
Vishal Jethwa
Vishal Saroye
Vishal Vashishtha
Vivaan Arora
Vivaan Shah
Vivan Bhatena
Vivek Shauq
Vivek Vaswani
Yunus Parvez
Zafar Karachiwala
Cezanne Khan
Dnyanesh Maharao
Dushyant Wagh
Jeet Upendra
Jehangir Vakil
Jugal Hansraj
Milind Gawali
Milind Shinde
Neil Nitin Mukesh
Nilesh Jalamkar
Nilesh Sahay
Nirmal Pandey
Rehman Khan
Sameer Dattani
Sameer Khakhar
Samir Choughule
Sharman Joshi
Shashi Kapoor
Shatrughan Sinha
Shavez Khan
Shereveer Vakil
Tiger Shroff
Tiku Talsania
Deepak Jethi
Deepak Tijori
Deepak Wadhwa
Dev
Dev Anand
Faraaz Khan
Fardeen Khan
Farhan Khan
G. M. Durrani
Ganesh Venkatraman
Goga Kapoor
Khan Mastana
Khayyam Sarhadi
Krishan Dhawan
Krishna
Krushna Abhishek
Kunaal Roy Kapur
Kunal Jaisingh
Kunal Karan Kapoor
Kunal Vijaykar
Kurush Deboo
Kushal Punjabi
Mayank Anand
Mayur Vyas
Mazher Sayed
Naseeruddin Shah
Varun Dhawan
Varun Toorkey
Vatsal Sheth
Emraan Hashmi
Ghanashyam Nayak
Govind Namdev
Govinda
Imaad Shah
Kamlesh Sawant
Kapil Sharma
Kapil Singh Lalwani
Karan Grover
Karan Trivedi
Laxmikant Berde
Luv Sinha
Meer Ali
Meet Mukhi
Meezaan Jafri
Meghan Jadhav
Mehmood Junior
Michael Van Wijk
Shaad Randhawa
Shafeeq
Shafi Inamdar
Shafiq Syed
Shahid Kapoor
Shakti Arora
Shakti Kapoor
Shammi Kapoor
Siddhant Chaturvedi
Siddhant Karnick
Siddhanth Kapoor
Siddharth Randeria
Sidharth Shukla
Sikandar Kher
Tom Alter
Yash Dasgupta
Chetan Hansraj
Chetan Shashital
Chetanya Adib
Chirag Patil
Chunky Panday
Cyrus Broacha
D. Santosh
Daji Bhatawadekar
Dakssh Ajit Singh
Dara Singh
Darshan Pandya
David Abraham Cheulkar
Daya Shankar Pandey
Deven Bhojani
Dharmendra
Dheeraj Sarna
Dilip Kumar
Dinyar Contractor
Faisal Khan
Faisal Khan
Faisal Raza Khan
Firdous Bamji
Firoz Dastur
Hussain Kuwajerwala
Jaaved Jaaferi
Jackie Shroff
Jas Binag
Jass Bhatia
Javed Khan Amrohi
Jim Sarbh
Jimit Trivedi
Jimmy Moses
Kelly Dorji
Pucky Ali
Raaj Kumar
Ragesh Asthana
Rahil Azam
Rahul Bhatt
Rahul Bose
Rahul Khanna
Rahul Mahajan
Ranjit Chowdhry
Ranveer Singh
Ravi Behl
Ravi Krishna
Ravi Patwardhan
Ravindra Kapoor
Ravish Desai
Sajid Khan
Salim Khan
Salman Rushdie
Kabir Sadanand
Kader Khan
Kali Prasad Mukherjee
Lucky Ali
M. Zahoor
Mamik Singh
Manasvi Vashist
Manav Vij
Mangesh Kadam
Manish Acharya
Manish Kaushik
Manish Naggdev
Manish Wadhwa
Homi Master
Hrithik Roshan
Kartik Shetty
Kavi Kumar Azad
Kay Kay Menon
Kiran Karmarkar
Kishore Bhatt
Kishore Kumar
Kishore Nandlaskar
Kitty
Lister Sinclair
Mrunal Jain
Mukesh Jadhav
Mukul Chadda
Mumtaz Ali
Nachiket Dighe
Nakkhul
Namish Taneja
Nandu Bhende
Nawab Shah
Rohan Kapoor
Rohan Shah
Rohit Nair
Rohit Saraf
Sohail Khan
Sohrab Modi
Sushant Divgikar
Suyyash Rai
Swapnil Joshi
Utkarsh Sharma
