Adolf Klein
Ady Berber
Aleksandër Moisiu
Alex Hafner
Alexander Pschill
Alexander Trojan
Alfons Fryland
Alfred Dorfer
Alfred Frauenfeld
Alfred Neugebauer
André Heller
Anton Edthofer
Anton Walbrook
Arno Frisch
Arnold Korff
Arthur Bergen
Franz Pfaudler
Franz Stoss
Frederick Schiller
Frederick Schrecker
Friedrich Feher
Fritz Greiner
Fritz Imhoff
Fritz Kortner
Fritz Spira
Helmut Dantine
Helmut Qualtinger
Helmuth Lohner
John Banner
John Mylong
John Wengraf
Leo Koffler
Leon Askin
Boris Kodjoe
Bruno Dallansky
Carl Esmond
Carl Goetz
Carl Möhner
Georg Friedrich
Georg Tressler
Mischa Hausserman
Richard Romanowsky
Theodor Danegger
Theodore Bikel
Victor Arnold
Willy Trenk-Trebitsch
Charles Goldner
Götz Kauffmann
Nikolas Vogel
Oscar Homolka
Oscar Sabo
Oskar Karlweis
Oskar Werner
Otto Hartmann
Otto Schenk
Otto Tausig
Reggie Nalder
Rudolf Prack
Rudolf Wessely
Rudolf Zehetgruber
Felix Basch
Ferdinand Marian
G. W. Pabst
Gabriel Barylli
Kurt Heintel
Kurt Kasznar
Kurt Meisel
Leopold Rudolf
Max Pallenberg
Maximilian Schell
Michael Janisch
Michael Niavarani
Walter Kohut
Walter Ladengast
Walter Slezak
Walter Surovy
Emil Lind
Eric Pohlmann
Erich Auer
Erich Padalewski
Erich von Stroheim
Erik Frey
Franz Böheim
Franz Höbling
Gerhard Riedmann
Gerhard Tötschinger
Gerhard Zemann
Giuseppe Weidmann
Karl Ehmann
Karl Etlinger
Karl Fochler
Karl Forest
Karl Günther
Karl Hanft
Michael Schottenberg
Michael von Newlinsky
Michel Muller
Siegfried Breuer
Siegfried Breuer Jr.
Simon Schwarz
Christoph Waltz
Eddie Polo
Eduard von Winterstein
Ekkehard Arendt
Ernst Arndt
Ernst Pröckl
Ernst Stankovski
Erwin Steinhauer
Erwin Strahl
Eugen Jensen
Hugo Flink
Hugo Gottschlich
Hugo Thimig
Jakob "Jackie" Gerlich
Raoul Aslan
Raoul Retzer
Manfred Inger
Wilhelm Klitsch
Willi Forst
Wolf Albach-Retty
Wolf Bachofner
Wolfgang Cerny
Guido Wieland
Gustav Diessl
Hanno Pöschl
Josef Meinrad
Josef Reithofer
Joseph Furst
Joseph Schildkraut
Karl Hellmer
Karl Markovics
Karl Meixner
Karl Schwetter
Karl Schönböck
Karlheinz Hackl
Klaus Pohl
Roland Kickinger
Rolf Olsen
Rolf Wanka
Teddy Bill
Thomas Mikusz
Thomas Oikonomou
Hans Effenberger
Hans Fidesser
Hans Georg Nenning
Hans Holt
Hans Homma
Hans Karl Breslauer
Hans Lackner
Hans Olden
Hans Putz
Hans Thimig
Hans von Borsody
Harry Nestor
Heinrich Peer
Heinrich Schweiger
Heinz-Leo Fischer
Heinz Conrads
Heinz Reincke
Herbert Waniek
Hermann Thimig
Hermann Wlach
Paul Morgan
Paul Richter
Paulus Manker
Peter Illing
Peter Kern
Peter Sturm
Peter Weck
Peter Wehle
Philipp Hochmair
Robert Lindner
Robert Palfrader
Robert Valberg
Turhan Bey
Vic Oliver
Werner Pochath
