Adam O'Brian
Andrew Howard
Andy Whitfield
Aneirin Hughes
Aneurin Barnard
Anthony Hopkins
Anthony Lyn
Islwyn Morris
John Bach
John Rhys-Davies
John Sparkes
Bryn Fôn
Callum Scott Howells
Hywel Bennett
Ian Whyte
Oliver Thornton
Richard Ian Cox
Richard Mylan
Steven Meo
Vincent Regan
William Simons
Jeffrey Thomas
Julian Lewis Jones
Matt Ryan
Matthew Rhys
Tim Vincent
Tim Wylton
Gareth Armstrong
Gareth David-Lloyd
Gary Jones
Craig Gallivan
Craig Roberts
Gerran Howell
Justin Davies
Luke Evans
Mark Evans
Mark Lewis Jones
Michael Sheen
Simon Armstrong
Steffan Rhodri
Tom Cullen
Tom Ellis
Tom Ward
Chico Slimani
Chris Tally Evans
Darragh Mortell
David Lyn
David Thaxton
Jacob Ifan
Ray Henwood
Kai Owen
Owain Arthur
Owen Teale
William Hughes
Jonathan Pryce
Karl Johnson
Lloyd Everitt
Roger Rees
Harry Secombe
Iwan "Iwcs" Roberts
Iwan Rheon
Peter Halliday
Peter Wingfield
Rob Brydon
Robert Evans
Robert Pugh
Robert Wilfort
Rhys Ifans
Richard Brake
Ross O'Hennessy
Terry Jones
