Adolf Jahr
Alexander Skarsgård
Alf Kjellin
Alf Nilsson
Alfred Lundberg
Allan Bohlin
Allan Edwall
Allan Svensson
Anders Ek
Anders Henrikson
Anders Lönnbro
Anders de Wahl
Anders Åberg
Anton Körberg
Arne Ragneborn
Arnold Sjöstrand
Artur Cederborgh
Artur Rolén
August Lindberg
August Warberg
Axel Düberg
Fredrik Gunnarsson
Frej Lindqvist
Fridolf Rhudin
Fritiof Billquist
Hjalmar Selander
Johan H:son Kjellgren
Johan Hedenberg
Johan Rabaeus
Johan Schildt
John Botvid
John Degerberg
John Ekman
John Elfström
John Lind
John Melin
John Norrman
John W. Brunius
Jonas Bergström
Jonas Falk
Jonas Malmsjö
Leif Andrée
Leif Liljeroth
Lennart Jähkel
Lennart Lindberg
Bengt Blomgren
Bengt Djurberg
Bengt Ekerot
Bengt Eklund
Bengt Logardt
Benkt-Åke Benktsson
Beppe Wolgers
Bertil Anderberg
Bertil Norström
Birger Lensander
Birger Malmsten
Birger Åsander
Björn Berglund
Björn Bjelfvenstam
Björn Gedda
Björn Granath
Bo Brundin
Bo Widerberg
Brasse Brännström
Bror Bügler
Börje Mellvig
Börje Nyberg
Carl-Axel Elfving
Carl-Axel Heiknert
Carl-Gunnar Wingård
Carl-Gustaf Lindstedt
Carl Barcklind
Carl Billquist
Carl Ström
Carlo Keil-Möller
Georg Adelly
Georg Blomstedt
Georg Funkquist
Georg Rydeberg
Georg Skarstedt
Georg af Klercker
Georg Årlin
George Fant
Håkan Serner
Håkan Westergren
Loa Falkman
Lou Castel
Magnus Kesster
Magnus Krepper
Sture Ericson
Sture Lagerwall
Sune Mangs
Olav Riégo
Olle Björklund
Olle Hilding
Olof Bergström
Olof Sandborg
Olof Thunberg
Olof Widgren
Olof Winnerstrand
Olof Ås
Richard Lund
Rikard Wolff
Stig Engström
Stig Johanson
Stig Järrel
Sławomir Rynkiewicz
Tage Danielsson
Theodor Berthels
Tor Isedal
Tor Johnson
Tord Stål
Tore Svennberg
Torgny Anderberg
Torsten Bergström
Torsten Lilliecrona
Victor Sjöström
Vilhelm Bryde
William Larsson
Willy Peters
Dolph Lundgren
Douglas Johansson
Göran Forsmark
Göran Gentele
Göran Stangertz
Gösta "Snoddas" Nordgren
Gösta Bernhard
Gösta Bredefeldt
Gösta Cederlund
Gösta Ekman
Gösta Ekman
Gösta Grip
Gösta Gustafson
Gösta Hillberg
Gösta Prüzelius
Göthe Grefbo
Ingvar Kjellson
Jens Hultén
Josua Bengtson
Mathias Taube
Mats Bergman
Mikael Persbrandt
Nils Ahrén
Nils Asther
Nils Eklund
Nils Ericson
Nils Hallberg
Nils Kihlberg
Nils Ohlin
Nils Olaf Chrisander
Nils Poppe
Nils Wahlbom
Oscar Byström
Oscar Ljung
Oskar Textorius
Reine Brynolfsson
Segol Mann
Fares Fares
Gabriel Alw
Keve Hjelm
Krister Henriksson
Max von Sydow
Måns Nathanaelson
Wiktor Andersson
Elof Ahrle
Emil Fjellström
Eric Abrahamsson
Eric Barclay
Erik Berglund
Erik Hell
Erik Strandmark
Erland Josephson
Frank Sundström
Gideon Wahlberg
Justus Hagman
Karl-Arne Holmsten
Karl Erik Flens
Karl Gerhard
Lauritz Falk
Malik Bendjelloul
Pierre Lindstedt
Sigge Fürst
Sigurd Wallén
Stellan Skarsgård
Sten-Åke Cederhök
Sten Elfström
Sten Lindgren
Tomas Norström
Tommy Andersson
Yngve Gamlin
Yngve Nordwall
Christer Boustedt
Christopher Heino-Lindberg
Christopher Wollter
Claes Eriksson
Claes Månsson
Dag Malmberg
David Erikson
Eddie Axberg
Edvard Persson
Edvin Adolphson
Egon Larsson
Einar Axelsson
Einar Fagstad
Einar Hanson
Ernst-Hugo Järegård
Ernst Eklund
Ernst Günther
Ernst Rolf
Folke Hjort
Hugo Björne
Jakob Eklund
Jarl Kulle
Joel Kinnaman
Morgan Andersson
Ragnar Arvedson
Ragnar Falck
Ragnar Widestedt
Curt Löwgren
Curt Masreliez
Kalle Moraeus
Lars-Erik Berenett
Lars Edström
Lars Ekborg
Lars Green
Lars Hanson
Lars Passgård
Lasse Brandeby
Lasse Dahlquist
Lasse Krantz
Ludde Gentzel
Ludde Juberg
Ove Tjernberg
Semmy Friedmann
Toivo Pawlo
Gunnar Björnstrand
Gunnar Hellström
Gunnar Höglund
Gunnar Olsson
Gunnar Sjöberg
Gus Dahlström
Gustaf Lövås
Gustaf Skarsgård
Gustaf Wally
Halvar Björk
Hampe Faustman
Holger Höglund
Holger Löwenadler
Jan Erik Lindqvist
Jan de Laval
Janne Carlsson
Roland Hedlund
Roland Janson
Rolf Botvid
Rolf Skoglund
Rolf Sohlman
Rune Halvarsson
Rune Lindström
Sven-Eric Gamble
Sven Holmberg
Sven Lindberg
Sven Scholander
Sven Wollter
Ted Åström
Thomas Hanzon
Thomas Hedengran
Thomas W. Gabrielsson
Thommy Berggren
Thor Modéen
Åke Claesson
Åke Fridell
Åke Grönberg
Åke Jensen
Åke Lindström
Åke Lundqvist
Åke Ohberg
Åke Söderblom
Hans Ernback
Hans Rosenfeldt
Hans Strååt
Hans Wigren
Harry Ahlin
Harry Hasso
Harry Persson
Harry Roeck-Hansen
Hasse Ekman
Heinz Hopf
Helge Hagerman
Herman Ahlsell
Hilding Gavle
Ivan Hedqvist
Ivar Kåge
Paul Seelig
Per-Axel Arosenius
Per Gerhard
Per Myrberg
Per Oscarsson
Peter Lindgren
Peter Rangmar
Peter Schildt
Philip Zandén
Weiron Holmberg
Pontus Gustafsson
Ulf Eklund
Ulf Johanson
Ulf Palme
Uno Henning
Weyler Hildebrand
