Abelard Giza
Adam Ferency
Adam Fidusiewicz
Andrzej Blumenfeld
Andrzej Grabowski
Arkadiusz Bazak
Artur Pontek
Artur Żmijewski
Henryk Machalica
Henryk Vogelfänger
Bartłomiej Kasprzykowski
Borys Szyc
Maciej Musiał
Miłogost Reczek
Olaf Lubaszenko
Olgierd Łukaszewicz
Tadeusz Kwinta
Cezary Pazura
Cezary Żak
Mikołaj Cieślak
Sebastian Fabijański
Krzysztof Ibisz
Krzysztof Kolberger
Krzysztof Kowalewski
Krzysztof Stelmaszyk
Ksawery Jasieński
Wiesław Michnikowski
Wieńczysław Gliński
Michał Milowicz
Michał Żebrowski
Michał Żurawski
Mieczysław Morański
Piotr Adamczyk
Piotr Bajtlik
Piotr Fronczewski
Piotr Machalica
Sylwester Maciejewski
Tomasz Kot
Dariusz Gnatowski
Jacek Braciak
Jacek Kopczyński
Jacek Rozenek
Jarosław Boberek
Jerzy Kryszak
Jerzy Stuhr
Przemysław Sadowski
Gustaw Holoubek
Jan Kobuszewski
Jan Kociniak
Jan Prochyra
Ryszard Nawrocki
Marek Frąckowiak
Robert Więckiewicz
