"Weird Al" Yankovic
50 Cent
A. D. Miles
A. J. Bowen
A. J. Calloway
A. J. Holmes
A. J. Locascio
A. J. Trauth
A. Michael Baldwin
AJ Gil
AJ Lamas
A Martinez
Aaron Burns
Aaron Carter
Aaron Dismuke
Aaron Eckhart
Aaron Himelstein
Aaron Lazar
Aaron Lohr
Aaron Norris
Aaron O'Connell
Aaron Paul
Aaron Ruell
Aaron Schwartz
Aaron Stanford
Aaron Staton
Aaron Takahashi
Aaron Tveit
Aaron Yonda
Aaron Yoo
Aasif Mandvi
Abe Vigoda
Abraham Benrubi
Abraham Lim
Ace Young
Ad-Rock
Adam Arkin
Adam Baldwin
Adam Bartley
Adam Brody
Adam Busch
Adam Carolla
Adam Chanler-Berat
Adam DeVine
Adam Driver
Adam G. Sevani
Adam G. Simon
Adam Goldberg
Adam Gregory
Adam Harrington
Adam Hicks
Adam Huber
Adam Jacobs
Adam Kaufman
Adam LaVorgna
Adam Lamberg
Adam Levine
Adam McArthur
Adam McKay
Adam Minarovich
Adam Pally
Adam Robitel
Adam Rodriguez
Adam Rothenberg
Adam Sandler
Adam Scott
Adam Shankman
Adam West
Adam Zolotin
Adrian Grenier
Adrian Martinez
Adrian Pasdar
Adrien Brody
Aedin Mincks
Afemo Omilami
Ahmed Best
Aidan Gallagher
Aidan Quinn
Akhil Akkineni
Akie Kotabe
Akiva Schaffer
Akshay Oberoi
Al Harrington
Al Lewis
Al Matthews
Al Molinaro
Al Pacino
Al Ruscio
Al Sapienza
Al White
Alan Aisenberg
Alan Alda
Alan Arkin
Alan Blumenfeld
Alan Campbell
Alan Gelfant
Alan Kim
Alan Oppenheimer
Alan Powell
Alan Rachins
Alan Ritchson
Alan Rosenberg
Alan Ruck
Alan Sader
Alan Tudyk
Alan Zweibel
Alano Miller
Albert Brooks
Albert Hall
Albert Reed
Albert Tsai
Alberto Frezza
Alberto Rosende
Alden Ehrenreich
Aldis Hodge
Alec Baldwin
Alejandro Alcondez
Alejandro Edda
Alejandro Saab
Alek Skarlatos
Alessandro Nivola
Alex Cord
Alex D. Linz
Alex Désert
Alex Fernandez
Alex Ko
Alex Kruz
Alex Landi
Alex Moffat
Alex Neustaedter
Alex Nevil
Alex Newell
Alex Plank
Alex Rocco
Alex Saxon
