Alex Hyde-White
Allan Melvin
Fred Cole
John Lupton
Jon Lormer
Baba Ali
Bill Lancaster
Bobby Jordan
Brad Bufanda
Brian Bonsall
Mitchell Page
Sung Kang
Taran Killam
Olivier Gruner
Richard Lupino
Ricky Kelman
Shorty Rossi
Charles McGraw
Don Keefer
Douglas Kennedy
Jeffrey Lynn
Dennis Hopper
Kevin Costner
Michael McMillian
Walter Coy
Cody Kasch
Forrest Lewis
Francis DeSales
Malcolm Danare
Mark Landon
Darren McGavin
Hugh Reilly
Jackie Coogan
Jeremy Suarez
Lang Jeffries
Larry Linville
Jonathan Lipnicki
Russ Tamblyn
Paul Langton
Richard Blackwell
Tris Coffin
