Alexander D'Arcy
Alf Kjellin
Allan Hyde
Andrew Connolly
Carlos Valdes
Louis Borel
Patrick Bauchau
Pedro Armendáriz Jr.
Victor Francen
Virgilio Teixeira
Miguel Mas
Mike Ginn
Nils Asther
Fernando Rey
Kurt Katch
Leander de Cordova
Sessue Hayakawa
Cyril Scott
Eduardo Noriega
Ernő Szenes
Hugo Haas
Jessy Terrero
Manu Tupou
Jorge Negrete
Jos Vantyler
Ryan Wiik
Sojin
Pau Masó
Paul Porcasi
Philip Dorn
Rhys Darby
Tullio Carminati
