Albert Conti
Aleksandër Moisiu
Fulvia Franco
Lia Franca
Carlo Rizzo
George Dolenz
Nino Crisman
Federica Ranchi
Eleonora Cortini
Elsa Merlini
Elvira Kralj
Elvy Lissiak
Lyla Rocco
Marino Masé
Mario Gallina
Mario Maranzana
Stelio Candelli
Daniela Surina
Dario Penne
Diego Pozzetto
Edy Vessel
Rada Rassimov
Laura Solari
Karlo Bulić
Livio Lorenzon
Ivan Rassimov
Paul Henreid
Paola Loew
Umberto D'Orsi
