Aaron Sidwell
Adam Sopp
Alec McCowen
Alex Sawyer
Alexander Arnold
Alexander Siddig
Alfred Wigan
André van Gyseghem
Anthony Bushell
Archie Yates
Arthur Williams
Frederick Robson
Frederick Treves
John Bannister
John Bennett
John Wells
Ballard Berkeley
Ben Dover
Ben Moor
Benjamin Whitrow
Bob Monkhouse
Bob Todd
Brian Cobby
Brian Murphy
Bruce Montague
George Clark
Lance Percival
Mackenzie Crook
Stuart Bunce
Terence Morgan
Oliver Chris
Paxton Whitehead
Richard Murdoch
Richard Warwick
Charles Cherry
Charles Dalton
Charlie Higson
Dominic Cooper
Donald Hewlett
Douglas Booth
Douglas Hodge
Jude Law
Matthew Goodgame
Maurice Denham
Neil North
Neil Stuke
Nicholas Day
Nick Wilton
Nicky Crane
Rudi Dharmalingam
Sean Chapman
Shaun Williamson
Tim Turner
Trevor Howard
Declan Galbraith
Derek Deadman
Kevin Bishop
Kevin Eldon
Leslie Dwyer
Leslie French
Leslie Fuller
Leslie Howard
Michael Balfour
Michael Bradshaw
Michael Evans
Wyndham Goldie
Eric Richard
Erik Chitty
Gerald Ames
Gerald Charles Dickens
Gordon Boyd
Mark Rylance
Martin Ball
Martin Lewis
Michael Sharvell-Martin
Michael Willson
Mick Jagger
Pip Carter
Pip Torrens
Simon Fisher Turner
Simon Paisley Day
Stephen Dillane
Sydney Greenstreet
Tom Burke
Tom Riley
Tom Wilkinson
Tommy Knight
Chris Simmons
Christopher Smart
Clive Dunn
Dan Stevens
Daniel Day-Lewis
Danny Mac
David Frankham
David Janson
David Lodge
David Tomlinson
Dinsdale Landen
Edward Rigby
Hugh Bonneville
Hugh Pollard
Jack Dee
Jack Gwillim
Jack Holden
Jack Scanlon
James Cossins
James Hillier
James Knight
Jason Statham
Jerome Flynn
Jim Piddock
Jimmy Godden
Joe Absolom
Joe Wilkinson
Keith Pyott
Ken Bones
Morris Perry
Raymond Adamson
Raymond Witch
Tyrone Power Sr.
Langley Kirkwood
Timothy Moxon
Timothy Speyer
William Hartnell
Joseph McManners
Rod Hull
Russell Thorndike
Rusty Goffe
Thomas Holding
Thomas James Longley
Thomas Twyne
Hans Matheson
Harry Andrews
Harry Hill
J. Lee Thompson
Paul Cavanagh
Paul Kasey
Paul Ritter
Perry Millward
Peter Barkworth
Peter Burton
Peter Collingwood
Peter Denyer
Peter Howitt
O. B. Clarence
Orlando Bloom
Orlando Wells
Rob Knox
Noel Howlett
Norman Wisdom
Richard Graham
Tristan Gemmill
