'Monsewer' Eddie Gray
A. E. Coleby
A. Harding Steerman
Aaron Swartz
Abdul Salis
Adam Bond
Adam Buxton
Adam Deacon
Adam Faith
Adam James
Adam Woodyatt
Ade
Adebayo Bolaji
Adeel Akhtar
Adrian Benjamin
Adrian Paul
Adrian Schiller
Aiden Shaw
Akin Gazi
Al Burnett
Al Gregg
Al Murray
Alan Cox
Alan Curtis
Alan Davies
Alan Ford
Alan Mowbray
Alan Rickman
Alan Scarfe
Alan Tilvern
Alan Wheatley
Alec B. Francis
Alec Clunes
Alec Guinness
Alec Mango
Alec Utgoff
Alec Worcester
Alex Chandon
Alex Esmail
Alex Hyde-White
Alex Lanipekun
Alex McNamara
Alex Roe
Alex Sharp
Alex Walkinshaw
Alex Winter
Alexander Field
Alexander Parsonage
Alf Goddard
Alfie Allen
Alfie Bass
Alfie Scopp
Alfie Stewart
Alfred Burke
Alfred Enoch
Alfred Hickman
Alfred Lynch
Alfred Marks
Alfred Molina
Alfred Paget
Alfred Wellesley
Allan Corduner
Allan Jeayes
Allan Warren
Alrick Riley
Alyy Khan
Amir El-Masry
Amit Shah
Aml Ameen
Andrew Garfield
Andrew Harrison
Andrew Johnson
Andrew Lincoln
Andrew McNair
Andrew Pleavin
Andrew Ray
Andrew Scarborough
André Morell
Andy Ansah
Andy Hamilton
Anthony Aston
Anthony Eustrel
Anthony Head
Anthony Holles
Anthony Kemp
Anthony Kimmins
Anthony Marriott
Anthony Smee
Anthony Steel
Anthony Wager
Anthony Welsh
Anton Alexander
Anton Rodgers
Archie Renaux
Arinzé Kene
Ariyon Bakare
Arnab Chanda
Art Malik
Arthur Chesney
Arthur Clayton
Arthur Cullin
Arthur Goullet
Arthur Haynes
Arthur Howard
Arthur Margetson
Arthur Rigby
Arthur Wontner
Asa Butterfield
Ashley Chin
Ashley Walters
Ashraf Sinclair
Aubrey Boucicault
Aubrey Dexter
Aubrey Fitzgerald
Augustus Prew
Fred Allandale
Fred Emney
Fred Evans
Fred Goodwins
Fred Groves
Fred Huntley
Fred Montague
Fred Morgan
Fred Rains
Fred Terry
Fred Wood
Freddie Bartholomew
Freddie Boath
Freddie Fox
Freddie Highmore
Freddie Stroma
Freddie Thorp
Frederic Richard Sullivan
Frederick Burtwell
Frederick Kerr
Frederick Leister
Frederick Lloyd
Frederick Piper
Frederick Worlock
Fuller Mellish
Henry Charles Hewitt
Henry Goodman
Henry Harris
Henry Herbert
Henry John Wallack
Henry Kemble
Henry Leigh Murray
Henry Lloyd-Hughes
Henry McGee
Henry Oscar
Henry Stephen Kemble
Henry Victor
Inder Manocha
Isao Yamagata
Islah Abdur-Rahman
Issy Bonn
Joey Ansah
John Abbott
John Abineri
John Bailey
John Bowler
John Boxer
John Boyega
John Cater
John Channell Mills
John Chapman
John Clark
John Cossar
John D. Collins
John Deverell
John Dodsworth
John Edwin
John Gielgud
John Glyn-Jones
John Goldsworthy
John Guerrasio
John Hamill
John Hare
John Harvey
John Hasler
John Hewer
John Hodgkinson
John Hollis
John Hopkins
John Howard Davies
John Junkin
John Justin
John Keston
John Lawrence Toole
John Loder
John Louis Mansi
John Lowin
John Lydon
John Lyons
John Marlborough East
John Moulder-Brown
John Nettleton
John Nolan
John Orchard
John Pickard
John Quick
John Reeve
John Salthouse
John Schlesinger
John Slater
John Standing
John Stride
John Waters
John Webb Dillion
John Woodnutt
Johnny Briggs
Johnny Lockwood
Johnny Shannon
